year,lgID,tmID,hW,hL,hT,hOTL,rW,rL,rT,rOTL,SepW,SepL,SepT,SepOL,OctW,OctL,OctT,OctOL,NovW,NovL,NovT,NovOL,DecW,DecL,DecT,DecOL,JanW,JanL,JanT,JanOL,FebW,FebL,FebT,FebOL,MarW,MarL,MarT,MarOL,AprW,AprL,AprT,AprOL
1930,NHL,NYR,10,9,3,,9,7,6,,,,,,,,,,3,3,2,,5,3,2,,2,6,3,,6,2,1,,3,2,1,,,,,
1930,NHL,OTS,6,14,2,,4,16,2,,,,,,,,,,3,4,1,,1,8,0,,1,8,1,,4,4,1,,1,6,1,,,,,
1930,NHL,PHQ,3,17,2,,1,19,2,,,,,,,,,,1,5,1,,0,10,0,,1,11,1,,1,5,1,,1,5,1,,,,,
1930,NHL,TOR,15,4,3,,7,9,6,,,,,,,,,,4,1,2,,3,5,1,,8,2,2,,2,4,3,,5,1,1,,,,,
1931,NHL,BOS,11,10,3,,4,11,9,,,,,,,,,,3,4,0,,4,1,4,,1,5,5,,4,6,2,,3,5,1,,,,,
1931,NHL,CHI,13,5,6,,5,14,5,,,,,,,,,,2,2,3,,3,4,3,,5,4,4,,4,5,0,,4,4,1,,,,,
1931,NHL,DTF,15,3,6,,3,17,4,,,,,,,,,,3,4,0,,2,5,3,,7,6,1,,4,2,3,,2,3,3,,,,,
1931,NHL,MTL,18,3,3,,7,13,4,,,,,,,,,,3,3,1,,4,5,2,,5,5,2,,7,1,1,,6,2,1,,,,,
1931,NHL,MTM,16,4,4,,3,18,3,,,,,,,,,,2,4,1,,3,6,2,,3,6,3,,7,4,0,,4,2,1,,,,,
1931,NHL,NYA,9,9,6,,7,15,2,,,,,,,,,,3,1,2,,2,7,3,,6,4,1,,2,6,1,,3,6,1,,,,,
1931,NHL,NYR,13,7,4,,10,10,4,,,,,,,,,,5,1,1,,6,1,3,,7,5,1,,2,5,2,,3,5,1,,,,,
1931,NHL,TOR,17,4,3,,6,14,4,,,,,,,,,,1,3,2,,8,3,2,,5,4,1,,4,5,1,,5,3,1,,,,,
1932,NHL,BOS,20,2,3,,5,13,5,,,,,,,,,,4,2,1,,6,3,1,,5,6,2,,4,4,2,,6,0,2,,,,,
1932,NHL,CHI,12,7,5,,4,13,7,,,,,,,,,,2,4,2,,4,3,3,,6,5,1,,2,4,4,,2,4,2,,,,,
1932,NHL,DET,17,3,4,,8,12,4,,,,,,,,,,3,4,0,,5,5,1,,8,1,3,,4,3,4,,5,2,0,,,,,
1932,NHL,MTL,15,5,4,,3,20,1,,,,,,,,,,2,4,0,,3,6,2,,4,6,1,,5,5,1,,4,4,1,,,,,
1932,NHL,MTM,14,7,3,,8,13,3,,,,,,,,,,3,5,0,,5,5,1,,4,4,1,,5,2,4,,5,4,0,,,,,
1932,NHL,NYA,13,6,5,,2,16,6,,,,,,,,,,2,2,1,,2,7,2,,5,4,5,,3,4,2,,3,5,1,,,,,
1932,NHL,NYR,12,7,5,,11,10,3,,,,,,,,,,3,1,1,,7,3,2,,6,5,1,,4,4,3,,3,4,1,,,,,
1932,NHL,OTS,8,11,4,,3,16,6,,,,,,,,,,3,2,0,,4,6,3,,1,10,2,,1,4,3,,2,5,2,,,,,
1932,NHL,TOR,16,4,4,,8,14,2,,,,,,,,,,4,2,1,,6,4,1,,6,4,2,,5,3,1,,3,5,1,,,,,
1933,NHL,BOS,11,11,2,,7,14,3,,,,,,,,,,4,5,0,,5,3,2,,2,9,1,,2,7,2,,5,1,0,,,,,
1933,NHL,CHI,13,4,7,,7,13,4,,,,,,,,,,5,3,1,,5,3,3,,4,3,4,,3,4,3,,3,4,0,,,,,
1933,NHL,DET,15,5,4,,9,9,6,,,,,,,,,,6,3,0,,3,5,2,,5,2,5,,7,1,3,,3,3,0,,,,,
1933,NHL,MTL,16,6,2,,6,14,4,,,,,,,,,,5,4,0,,3,5,3,,4,4,2,,5,5,1,,5,2,0,,,,,
1933,NHL,MTM,11,6,7,,8,12,4,,,,,,,,,,3,3,2,,1,6,3,,6,4,3,,6,4,1,,3,1,2,,,,,
1933,NHL,NYA,7,12,5,,8,11,5,,,,,,,,,,1,3,3,,2,8,1,,6,4,3,,4,3,3,,2,5,0,,,,,
1933,NHL,NYR,11,7,6,,10,12,2,,,,,,,,,,1,4,1,,6,2,4,,8,4,1,,4,5,1,,2,4,1,,,,,
1933,NHL,OTS,9,13,2,,4,16,4,,,,,,,,,,3,7,0,,3,2,4,,2,8,1,,3,8,0,,2,4,1,,,,,
1933,NHL,TOR,19,2,3,,7,11,6,,,,,,,,,,5,1,1,,8,2,2,,5,4,4,,5,2,2,,3,4,0,,,,,
1934,NHL,BOS,17,7,0,,9,9,6,,,,,,,,,,4,3,0,,5,5,1,,7,3,2,,5,3,2,,5,2,1,,,,,
1934,NHL,CHI,12,9,3,,14,8,2,,,,,,,,,,5,2,0,,5,3,2,,6,5,2,,5,6,0,,5,1,1,,,,,
1934,NHL,DET,11,8,5,,8,14,2,,,,,,,,,,3,5,0,,4,4,3,,4,3,4,,3,8,0,,5,2,0,,,,,
1934,NHL,MTL,11,11,2,,8,12,4,,,,,,,,,,1,4,0,,4,4,3,,5,6,1,,6,3,1,,3,6,1,,,,,
1934,NHL,MTM,12,9,3,,12,10,2,,,,,,,,,,4,2,0,,6,4,1,,6,5,1,,7,6,0,,1,2,3,,,,,
1934,NHL,NYA,7,13,4,,5,14,5,,,,,,,,,,3,2,0,,3,8,3,,1,7,4,,4,4,1,,1,6,1,,,,,
1934,NHL,NYR,11,8,5,,11,12,1,,,,,,,,,,2,4,0,,4,6,1,,8,1,3,,7,4,1,,1,5,1,,,,,
1934,NHL,STE,7,14,3,,4,17,3,,,,,,,,,,1,8,0,,3,5,3,,2,9,1,,3,6,2,,2,3,0,,,,,
1934,NHL,TOR,16,6,2,,14,8,2,,,,,,,,,,7,0,0,,8,3,1,,6,6,2,,4,4,1,,5,1,0,,,,,
1935,NHL,BOS,15,8,1,,7,12,5,,,,,,,,,,1,4,0,,6,5,2,,6,3,1,,5,6,0,,4,2,3,,,,,
1935,NHL,CHI,15,7,2,,6,12,6,,,,,,,,,,4,2,1,,5,4,1,,6,4,1,,4,5,3,,2,4,2,,,,,
1935,NHL,DET,14,5,5,,10,11,3,,,,,,,,,,1,2,4,,6,3,2,,6,4,0,,7,2,1,,4,5,1,,,,,
1935,NHL,MTL,5,11,8,,6,15,3,,,,,,,,,,3,3,1,,0,7,3,,6,4,3,,1,5,3,,1,7,1,,,,,
1935,NHL,MTM,13,8,3,,9,8,7,,,,,,,,,,4,2,0,,3,6,2,,6,3,2,,4,5,3,,5,0,3,,,,,
1935,NHL,NYA,10,11,3,,6,14,4,,,,,,,,,,2,5,1,,5,4,1,,3,6,1,,2,5,4,,4,5,0,,,,,
1935,NHL,NYR,11,6,7,,8,11,5,,,,,,,,,,4,3,2,,5,4,2,,3,7,1,,3,1,5,,4,2,2,,,,,
1935,NHL,TOR,15,4,5,,8,15,1,,,,,,,,,,5,3,1,,5,2,1,,2,7,1,,7,4,1,,4,3,2,,,,,
1936,NHL,BOS,9,11,4,,14,7,3,,,,,,,,,,4,2,2,,5,4,1,,4,6,2,,6,4,1,,4,2,1,,,,,
1936,NHL,CHI,8,13,3,,6,14,4,,,,,,,,,,1,4,4,,2,5,2,,5,9,0,,3,5,0,,3,4,1,,,,,
1936,NHL,DET,14,5,5,,11,9,4,,,,,,,,,,3,3,2,,6,2,2,,9,2,1,,3,3,4,,4,4,0,,,,,
1936,NHL,MTL,16,8,0,,8,10,6,,,,,,,,,,5,4,1,,5,3,1,,9,3,1,,4,3,2,,1,5,1,,,,,
1936,NHL,MTM,11,7,6,,11,10,3,,,,,,,,,,2,4,3,,4,4,2,,5,6,2,,5,2,1,,6,1,1,,,,,
1936,NHL,NYA,9,13,2,,6,16,2,,,,,,,,,,5,3,2,,1,8,1,,3,7,1,,4,7,0,,2,4,0,,,,,
1936,NHL,NYR,9,8,7,,10,12,2,,,,,,,,,,5,3,1,,5,2,3,,4,5,2,,3,5,3,,2,5,0,,,,,
1936,NHL,TOR,14,9,1,,8,12,4,,,,,,,,,,3,5,1,,4,4,0,,5,6,1,,6,5,1,,4,1,2,,,,,
1937,NHL,BOS,18,3,3,,12,8,4,,,,,,,,,,6,0,2,,6,5,0,,6,3,2,,8,1,1,,4,2,2,,,,,
1937,NHL,CHI,10,10,4,,4,15,5,,,,,,,,,,2,6,2,,4,3,1,,3,5,4,,2,8,2,,3,3,0,,,,,
1937,NHL,DET,8,10,6,,4,15,5,,,,,,,,,,2,6,1,,1,7,2,,3,5,5,,3,2,3,,3,5,0,,,,,
1937,NHL,MTL,13,4,7,,5,13,6,,,,,,,,,,2,2,3,,5,2,3,,5,6,1,,4,4,3,,2,3,3,,,,,
1937,NHL,MTM,9,13,2,,3,17,4,,,,,,,,,,4,5,1,,2,6,0,,3,5,3,,2,9,1,,1,5,1,,,,,
1937,NHL,NYA,10,9,5,,9,9,6,,,,,,,,,,4,3,1,,4,5,1,,2,4,4,,4,3,3,,5,3,2,,,,,
1937,NHL,NYR,14,6,4,,13,9,2,,,,,,,,,,3,4,1,,7,3,1,,6,2,3,,8,3,0,,3,3,1,,,,,
1937,NHL,TOR,13,6,5,,11,9,4,,,,,,,,,,5,2,3,,4,2,2,,5,3,2,,5,6,1,,5,2,1,,,,,
1938,NHL,BOS,20,2,2,,16,8,0,,,,,,,,,,5,1,1,,8,4,0,,8,2,1,,9,3,0,,6,0,0,,,,,
1938,NHL,CHI,5,13,6,,7,15,2,,,,,,,,,,5,3,1,,3,6,2,,1,8,2,,2,5,2,,1,6,1,,,,,
1938,NHL,DET,14,8,2,,4,16,4,,,,,,,,,,2,7,0,,4,5,2,,4,4,3,,3,5,1,,5,3,0,,,,,
1938,NHL,MTL,8,11,5,,7,13,4,,,,,,,,,,1,7,1,,3,7,0,,3,4,5,,4,4,2,,4,2,1,,,,,
1938,NHL,NYA,12,8,4,,5,13,6,,,,,,,,,,5,3,1,,5,3,2,,4,4,5,,2,6,2,,1,5,0,,,,,
1938,NHL,NYR,13,8,3,,13,8,3,,,,,,,,,,5,2,0,,7,3,1,,5,3,2,,6,3,2,,3,5,1,,,,,
1938,NHL,TOR,13,8,3,,6,12,6,,,,,,,,,,4,4,2,,3,5,1,,5,5,2,,4,4,3,,3,2,1,,,,,
1939,NHL,BOS,20,3,1,,11,9,4,,,,,,,,,,3,3,2,,10,2,1,,7,3,1,,7,2,0,,4,2,1,,,,,
1939,NHL,CHI,15,7,2,,8,12,4,,,,,,,,,,4,4,0,,3,7,1,,5,4,2,,7,2,3,,4,2,0,,,,,
1939,NHL,DET,11,10,3,,5,16,3,,,,,,,,,,4,5,1,,1,7,2,,4,4,2,,5,6,1,,2,4,0,,,,,
1939,NHL,MTL,5,14,5,,5,19,0,,,,,,,,,,4,2,2,,3,8,0,,1,10,1,,1,8,1,,1,5,1,,,,,
1939,NHL,NYA,12,11,1,,3,18,3,,,,,,,,,,2,6,0,,4,8,1,,4,7,1,,2,5,1,,3,3,1,,,,,
1939,NHL,NYR,17,4,3,,10,7,7,,,,,,,,,,3,3,4,,7,0,3,,10,1,0,,5,6,1,,2,1,2,,,,,
1939,NHL,TOR,15,3,6,,10,14,0,,,,,,,,,,5,2,1,,8,4,2,,4,6,1,,5,3,1,,3,2,1,,,,,
1940,NHL,BOS,15,4,5,,12,4,8,,,,,,,,,,2,3,3,,6,4,2,,6,0,4,,7,1,2,,6,0,2,,,,,
1940,NHL,CHI,11,10,3,,5,15,4,,,,,,,,,,3,4,2,,4,5,2,,5,4,2,,4,7,0,,0,5,1,,,,,
1940,NHL,DET,14,5,5,,7,11,6,,,,,,,,,,4,1,4,,5,5,1,,4,5,3,,4,3,2,,4,2,1,,,,,
1940,NHL,MTL,11,9,4,,5,17,2,,,,,,,,,,2,6,2,,5,4,0,,3,6,2,,3,7,2,,3,3,0,,,,,
1940,NHL,NYA,7,10,7,,1,19,4,,,,,,,,,,3,6,1,,3,5,4,,1,6,2,,1,6,3,,0,6,1,,,,,
1940,NHL,NYR,13,7,4,,8,12,4,,,,,,,,,,3,3,2,,4,6,2,,3,5,3,,7,4,1,,4,1,0,,,,,
1940,NHL,TOR,16,5,3,,12,9,3,,,,,,,,,,8,2,0,,6,4,1,,6,2,2,,5,3,2,,3,3,1,,,,,
1941,NHL,BKN,10,12,2,,6,17,1,,,,,,,,,,3,7,1,,3,8,0,,5,7,0,,3,5,0,,2,2,2,,,,,
1941,NHL,BOS,17,4,3,,8,13,3,,,,,,,,,,8,2,0,,5,2,3,,6,4,2,,2,6,0,,4,3,1,,,,,
1941,NHL,CHI,15,8,1,,7,15,2,,,,,,,,,,5,4,1,,4,4,2,,6,4,0,,6,6,0,,1,5,0,,,,,
1941,NHL,DET,14,7,3,,5,18,1,,,,,,,,,,3,7,1,,3,4,1,,5,8,0,,4,5,1,,4,1,1,,,,,
1941,NHL,MTL,12,10,2,,6,17,1,,,,,,,,,,1,7,1,,4,7,0,,3,7,1,,6,5,0,,4,1,1,,,,,
1941,NHL,NYR,15,8,1,,14,9,1,,,,,,,,,,6,5,0,,8,3,0,,6,1,1,,7,5,0,,2,3,1,,,,,
1941,NHL,TOR,18,6,0,,9,12,3,,,,,,,,,,8,2,0,,6,5,0,,4,4,2,,6,2,1,,3,5,0,,,,,
1942,NHL,BOS,17,3,5,,7,14,4,,,,,,0,1,0,,5,4,1,,6,3,4,,8,4,1,,3,5,1,,2,0,2,,,,,
1942,NHL,CHI,14,3,8,,3,15,7,,,,,,,,,,5,3,3,,3,4,2,,4,3,5,,5,5,2,,0,3,3,,,,,
1942,NHL,DET,16,4,5,,9,10,6,,,,,,,,,,6,2,3,,4,4,2,,5,3,5,,7,2,0,,3,3,1,,,,,
1942,NHL,MTL,14,4,7,,5,15,5,,,,,,1,0,0,,2,7,2,,3,5,2,,5,3,4,,6,4,0,,2,0,4,,,,,
1942,NHL,NYR,7,13,5,,4,18,3,,,,,,0,1,0,,4,6,1,,3,6,1,,0,9,3,,2,6,2,,2,3,1,,,,,
1942,NHL,TOR,17,6,2,,5,13,7,,,,,,1,0,0,,5,5,0,,6,3,3,,4,4,2,,4,5,1,,2,2,3,,,,,
1943,NHL,BOS,15,8,2,,4,18,3,,,,,,0,0,1,,5,6,1,,5,2,2,,3,8,0,,3,6,0,,3,4,1,,,,,
1943,NHL,CHI,15,6,4,,7,17,1,,,,,,0,1,0,,7,4,0,,3,6,0,,5,5,1,,4,2,3,,3,5,1,,,,,
1943,NHL,DET,18,5,2,,8,13,4,,,,,,1,0,0,,4,3,2,,2,7,2,,8,2,1,,5,3,1,,6,3,0,,,,,
1943,NHL,MTL,22,0,3,,16,5,4,,,,,,0,0,1,,9,0,2,,6,2,0,,8,1,3,,8,1,1,,7,1,0,,,,,
1943,NHL,NYR,4,17,4,,2,22,1,,,,,,0,2,0,,0,9,1,,4,5,0,,2,9,0,,0,8,2,,0,6,2,,,,,
1943,NHL,TOR,13,11,1,,10,12,3,,,,,,2,0,0,,3,6,2,,6,4,0,,5,6,1,,4,4,1,,3,3,0,,,,,
1944,NHL,BOS,11,12,2,,5,18,2,,,,,,0,2,0,,5,5,1,,4,5,0,,2,9,0,,3,4,2,,2,5,1,,,,,
1944,NHL,CHI,9,14,2,,4,16,5,,,,,,0,1,0,,2,8,1,,1,6,2,,3,7,1,,3,5,3,,4,3,0,,,,,
1944,NHL,DET,19,5,1,,12,9,4,,,,,,1,0,0,,6,4,2,,7,2,1,,8,2,1,,5,4,0,,4,2,1,,,,,
1944,NHL,MTL,21,2,2,,17,6,2,,,,,,1,0,0,,8,4,1,,7,0,1,,10,1,0,,7,0,2,,5,3,0,,,,,
1944,NHL,NYR,7,11,7,,4,18,3,,,,,,0,1,0,,2,5,3,,2,7,2,,3,6,2,,3,4,3,,1,6,0,,,,,
1944,NHL,TOR,13,9,3,,11,13,1,,,,,,2,0,0,,7,4,0,,3,4,2,,5,6,0,,2,6,2,,5,2,0,,,,,
1945,NHL,BOS,16,5,4,,8,13,4,,,,,,0,2,1,,6,1,0,,3,2,5,,8,5,0,,3,6,2,,4,2,0,,,,,
1945,NHL,CHI,15,5,5,,8,15,2,,,,,,2,1,0,,4,3,1,,6,3,2,,6,5,0,,3,2,4,,2,6,0,,,,,
1945,NHL,DET,16,5,4,,4,15,6,,,,,,1,0,0,,6,4,0,,3,3,4,,3,5,1,,5,3,4,,2,5,1,,,,,
1945,NHL,MTL,16,6,3,,12,11,2,,,,,,1,0,0,,7,4,0,,5,3,3,,4,5,0,,7,3,0,,4,2,2,,,,,
1945,NHL,NYR,8,12,5,,5,16,4,,,,,,0,1,0,,3,8,1,,2,6,2,,3,6,1,,2,4,5,,3,3,0,,,,,
1945,NHL,TOR,10,13,2,,9,11,5,,,,,,0,0,1,,3,9,0,,4,6,2,,5,3,0,,2,4,3,,5,2,1,,,,,
1946,NHL,BOS,18,7,5,,8,16,6,,,,,,1,0,4,,5,4,1,,3,6,3,,7,6,0,,2,6,2,,8,1,1,,,,,
1946,NHL,CHI,10,17,3,,9,20,1,,,,,,1,2,1,,4,6,0,,3,7,1,,3,9,1,,6,4,1,,2,9,0,,,,,
1946,NHL,DET,14,10,6,,8,17,5,,,,,,1,4,1,,6,6,1,,1,6,4,,4,6,1,,4,2,3,,6,3,1,,,,,
1946,NHL,MTL,19,6,5,,15,10,5,,,,,,2,2,1,,7,3,2,,8,2,0,,7,4,2,,6,2,4,,4,3,1,,,,,
1946,NHL,NYR,11,14,5,,11,18,1,,,,,,2,2,1,,3,8,1,,4,5,3,,7,4,0,,4,5,1,,2,8,0,,,,,
1946,NHL,TOR,20,8,2,,11,11,8,,,,,,3,0,2,,6,4,1,,9,2,1,,6,5,2,,2,5,3,,5,3,1,,,,,
1947,NHL,BOS,12,8,10,,11,16,3,,,,,,4,1,0,,4,5,3,,2,7,3,,4,4,3,,4,6,1,,5,1,3,,,,,
1947,NHL,CHI,10,17,3,,10,17,3,,,,,,0,5,0,,4,7,1,,3,8,1,,5,6,1,,5,4,2,,3,4,1,,,,,
1947,NHL,DET,16,9,5,,14,9,7,,,,,,3,1,1,,7,4,1,,5,3,3,,7,3,3,,6,3,1,,2,4,3,,,,,
1947,NHL,MTL,13,13,4,,7,16,7,,,,,,3,3,0,,4,5,3,,4,4,1,,2,7,5,,2,8,0,,5,2,2,,,,,
1947,NHL,NYR,11,12,7,,10,14,6,,,,,,1,3,0,,6,5,0,,6,3,4,,4,5,3,,2,3,5,,2,7,1,,,,,
1947,NHL,TOR,22,3,5,,10,12,8,,,,,,3,1,1,,6,5,2,,6,1,4,,5,2,5,,7,2,1,,5,4,0,,,,,
1948,NHL,BOS,18,10,2,,11,13,6,,,,,,4,1,1,,6,2,1,,4,8,2,,5,6,0,,5,3,3,,5,3,1,,,,,
1948,NHL,CHI,13,12,5,,8,19,3,,,,,,1,5,0,,6,4,1,,6,4,1,,3,7,3,,3,6,2,,2,5,1,,,,,
1948,NHL,DET,21,6,3,,13,13,4,,,,,,5,1,1,,3,5,1,,8,5,0,,8,3,2,,4,4,2,,6,1,1,,,,,
1948,NHL,MTL,19,8,3,,9,15,6,,,,,,2,2,3,,4,4,1,,5,5,1,,7,6,1,,4,5,1,,6,1,2,,,,,
1948,NHL,NYR,13,12,5,,5,19,6,,,,,,1,3,1,,2,5,3,,5,4,3,,5,5,2,,4,7,1,,1,7,1,,,,,
1948,NHL,TOR,12,8,10,,10,17,3,,,,,,3,4,0,,2,3,5,,4,6,1,,4,5,4,,6,1,3,,3,6,0,,,,,
1949,NHL,BOS,15,12,8,,7,20,8,,,,,,2,4,2,,3,6,3,,6,6,3,,5,6,2,,1,6,3,,5,4,3,,,,,
1949,NHL,CHI,13,18,4,,9,20,6,,,,,,2,4,2,,5,4,2,,3,9,2,,4,7,2,,3,6,2,,5,8,0,,,,,
1949,NHL,DET,19,9,7,,18,10,7,,,,,,4,2,1,,9,2,2,,8,4,1,,5,5,3,,4,3,4,,7,3,3,,,,,
1949,NHL,MTL,17,8,10,,12,14,9,,,,,,4,3,1,,5,4,3,,4,5,5,,6,4,2,,3,4,4,,7,2,4,,,,,
1949,NHL,NYR,19,12,4,,9,19,7,,,,,,2,4,2,,3,4,4,,9,3,1,,3,8,2,,7,3,2,,4,9,0,,,,,
1949,NHL,TOR,18,9,8,,13,18,4,,,,,,4,1,2,,3,8,2,,5,8,2,,9,2,1,,6,2,3,,4,6,2,,,,,
1950,NHL,BOS,13,12,10,,9,18,8,,,,,,0,4,3,,4,7,2,,6,6,3,,6,3,3,,3,4,5,,3,6,2,,,,,
1950,NHL,CHI,8,22,5,,5,25,5,,,,,,2,3,2,,7,5,1,,2,8,4,,0,12,2,,2,8,1,,0,11,0,,,,,
1950,NHL,DET,25,3,7,,19,10,6,,,,,,4,2,1,,6,3,3,,11,2,2,,7,4,3,,6,1,4,,10,1,0,,,,,
1950,NHL,MTL,17,10,8,,8,20,7,,,,,,4,2,3,,4,7,2,,3,8,2,,6,4,3,,2,6,2,,6,3,3,,,,,
1950,NHL,NYR,14,11,10,,6,18,11,,,,,,1,4,3,,1,6,6,,5,4,4,,6,5,2,,4,4,3,,3,6,3,,,,,
1950,NHL,TOR,22,8,5,,19,8,8,,,,,,5,1,2,,9,3,2,,6,5,3,,5,2,3,,7,1,3,,9,4,0,,,,,
1951,NHL,BOS,15,12,8,,10,17,8,,,,,,3,3,1,,2,4,7,,5,7,1,,5,7,2,,3,6,2,,7,2,3,,,,,
1951,NHL,CHI,9,19,7,,8,25,2,,,,,,2,3,2,,5,9,0,,4,8,1,,2,9,2,,2,7,2,,2,8,2,,,,,
1951,NHL,DET,24,7,4,,20,7,8,,,,,,5,1,1,,7,2,5,,9,3,2,,6,5,1,,9,1,2,,8,2,1,,,,,
1951,NHL,MTL,22,8,5,,12,18,5,,,,,,4,5,1,,4,5,2,,8,5,1,,8,3,2,,5,4,2,,5,4,2,,,,,
1951,NHL,NYR,16,13,6,,7,21,7,,,,,,2,4,1,,4,5,4,,5,8,1,,4,5,4,,5,4,3,,3,8,0,,,,,
1951,NHL,TOR,17,10,8,,12,15,8,,,,,,3,3,2,,6,3,4,,6,6,2,,7,3,3,,3,5,3,,4,5,2,,,,,
1952,NHL,BOS,19,10,6,,9,19,7,,,,,,2,2,4,,7,6,0,,4,6,3,,4,6,3,,5,5,1,,6,4,2,,,,,
1952,NHL,CHI,14,11,10,,13,17,5,,,,,,5,2,3,,6,4,3,,3,6,3,,4,7,3,,4,6,0,,5,3,3,,,,,
1952,NHL,DET,20,5,10,,16,11,8,,,,,,4,4,2,,6,3,3,,6,1,6,,6,4,2,,8,2,2,,6,2,3,,,,,
1952,NHL,MTL,18,12,5,,10,11,14,,,,,,4,3,2,,4,3,5,,6,4,3,,7,3,5,,5,5,2,,2,5,2,,,,,
1952,NHL,NYR,11,14,10,,6,23,6,,,,,,1,6,2,,2,6,4,,2,6,5,,5,7,1,,4,5,3,,3,7,1,,,,,
1952,NHL,TOR,17,12,6,,10,18,7,,,,,,4,3,1,,5,8,3,,5,3,4,,6,5,2,,3,6,2,,4,5,1,,,,,
1953,NHL,BOS,22,8,5,,10,20,5,,,,,,5,3,0,,5,4,4,,5,7,1,,6,8,1,,5,5,1,,6,1,3,,,,,
1953,NHL,CHI,8,21,6,,4,30,1,,,,,,2,7,1,,1,12,2,,4,6,2,,2,12,0,,2,8,1,,1,6,1,,,,,
1953,NHL,DET,24,4,7,,13,15,7,,,,,,5,3,2,,8,1,3,,7,5,2,,8,3,2,,6,3,2,,3,4,3,,,,,
1953,NHL,MTL,27,5,3,,8,19,8,,,,,,8,3,0,,6,6,2,,7,3,2,,5,6,1,,5,4,3,,4,2,3,,,,,
1953,NHL,NYR,18,12,5,,11,19,5,,,,,,2,6,1,,5,6,2,,3,8,3,,9,3,1,,6,5,1,,4,3,2,,,,,
1953,NHL,TOR,22,6,7,,10,18,7,,,,,,4,4,2,,7,3,3,,6,3,2,,7,5,1,,5,4,4,,3,5,2,,,,,
1954,NHL,BOS,16,10,9,,7,16,12,,,,,,1,4,3,,5,5,2,,4,6,2,,7,4,5,,3,2,8,,3,5,1,,,,,
1954,NHL,CHI,6,21,8,,7,19,9,,,,,,1,5,2,,2,9,3,,3,7,2,,3,8,4,,2,6,4,,2,5,2,,,,,
1954,NHL,DET,25,5,5,,17,12,6,,,,,,6,3,0,,6,5,1,,9,3,3,,8,4,3,,5,2,4,,8,0,0,,,,,
1954,NHL,MTL,26,5,4,,15,13,7,,,,,,7,3,1,,8,4,2,,7,2,3,,7,4,2,,7,2,1,,5,3,2,,,,,
1954,NHL,NYR,10,12,13,,7,23,5,,,,,,5,4,1,,3,6,3,,1,8,6,,4,7,3,,1,6,4,,3,4,1,,,,,
1954,NHL,TOR,14,10,11,,10,14,11,,,,,,2,3,3,,8,3,3,,6,4,4,,4,6,5,,3,3,5,,1,5,2,,,,,
1955,NHL,BOS,14,14,7,,9,20,6,,,,,,4,3,2,,2,7,4,,2,9,3,,5,7,0,,6,5,3,,4,3,1,,,,,
1955,NHL,CHI,9,19,7,,10,20,5,,,,,,4,5,2,,4,5,4,,4,7,2,,2,10,1,,4,5,2,,1,7,1,,,,,
1955,NHL,DET,21,6,8,,9,18,8,,,,,,2,5,3,,3,3,7,,6,3,3,,10,2,1,,5,8,0,,4,3,2,,,,,
1955,NHL,MTL,29,5,1,,16,10,9,,,,,,6,3,2,,6,1,5,,12,3,0,,6,5,1,,8,1,2,,7,2,0,,,,,
1955,NHL,NYR,20,7,8,,12,21,2,,,,,,5,4,0,,6,2,5,,6,5,1,,7,5,1,,5,8,2,,3,4,1,,,,,
1955,NHL,TOR,19,10,6,,5,23,7,,,,,,4,5,1,,4,7,3,,4,7,3,,5,6,0,,5,6,3,,2,2,3,,,,,
1956,NHL,BOS,20,9,6,,14,15,6,,,,,,2,3,3,,11,2,1,,6,5,2,,4,6,2,,6,5,2,,5,3,2,,,,,
1956,NHL,CHI,12,15,8,,4,24,7,,,,,,1,6,1,,3,8,2,,4,9,1,,2,8,4,,4,3,4,,2,5,3,,,,,
1956,NHL,DET,23,7,5,,15,13,7,,,,,,5,0,2,,7,3,2,,7,5,3,,8,4,1,,5,4,3,,6,4,1,,,,,
1956,NHL,MTL,23,6,6,,12,17,6,,,,,,2,5,1,,9,4,1,,7,3,3,,9,2,2,,3,5,4,,5,4,1,,,,,
1956,NHL,NYR,15,12,8,,11,18,6,,,,,,4,3,1,,2,7,4,,5,6,2,,5,7,1,,6,4,3,,4,3,3,,,,,
1956,NHL,TOR,12,16,7,,9,18,8,,,,,,4,1,4,,1,9,2,,6,7,1,,5,6,2,,2,5,4,,3,6,2,,,,,
1957,NHL,BOS,15,14,6,,12,14,9,,,,,,4,5,0,,6,5,2,,3,4,6,,4,6,3,,4,6,1,,6,2,3,,,,,
1957,NHL,CHI,15,17,3,,9,22,4,,,,,,4,4,1,,3,7,3,,3,7,2,,7,6,0,,3,8,0,,4,7,1,,,,,
1957,NHL,DET,16,11,8,,13,18,4,,,,,,4,5,0,,3,5,5,,6,6,2,,6,6,0,,5,3,2,,5,4,3,,,,,
1957,NHL,MTL,23,8,4,,20,9,6,,,,,,6,2,2,,7,2,1,,8,4,2,,11,3,0,,6,2,4,,5,4,1,,,,,
1957,NHL,NYR,14,15,6,,18,10,7,,,,,,5,4,1,,6,5,3,,5,6,3,,3,6,2,,7,2,1,,6,2,3,,,,,
1957,NHL,TOR,12,16,7,,9,22,4,,,,,,3,6,0,,4,5,4,,6,4,3,,3,7,3,,3,7,0,,2,9,1,,,,,
1958,NHL,BOS,21,11,3,,11,18,6,,,,,,4,3,3,,7,7,1,,3,8,1,,5,5,2,,6,4,1,,7,2,1,,,,,
