year,round,series,tmIDWinner,lgIDWinner,tmIDLoser,lgIDLoser,W,L,T,GoalsWinner,GoalsLoser,note
1981,DF,L,VAN,NHL,LAK,NHL,4,1,0,19,14,
1981,CF,M,NYI,NHL,QUE,NHL,4,0,0,18,9,
1981,CF,N,VAN,NHL,CHI,NHL,4,1,0,18,13,
1981,SCF,O,NYI,NHL,VAN,NHL,4,0,0,18,10,
1982,DSF,A,BOS,NHL,QUE,NHL,3,1,0,11,8,
1982,DSF,B,BUF,NHL,MTL,NHL,3,0,0,8,2,
1982,DSF,C,NYR,NHL,PHI,NHL,3,0,0,18,9,
1982,DSF,D,NYI,NHL,WAS,NHL,3,1,0,19,11,
1982,DSF,E,CHI,NHL,STL,NHL,3,1,0,16,10,
1982,DSF,F,MNS,NHL,TOR,NHL,3,1,0,18,18,
1982,DSF,G,EDM,NHL,WIN,NHL,3,0,0,14,9,
1982,DSF,H,CAL,NHL,VAN,NHL,3,1,0,17,14,
1982,DF,I,BOS,NHL,BUF,NHL,4,3,0,33,23,
1982,DF,J,NYI,NHL,NYR,NHL,4,2,0,28,15,
1982,DF,K,CHI,NHL,MNS,NHL,4,1,0,22,16,
1982,DF,L,EDM,NHL,CAL,NHL,4,1,0,35,13,
1982,CF,M,NYI,NHL,BOS,NHL,4,2,0,30,21,
1982,CF,N,EDM,NHL,CHI,NHL,4,0,0,25,11,
1982,SCF,O,NYI,NHL,EDM,NHL,4,0,0,17,6,
1983,DSF,A,MTL,NHL,BOS,NHL,3,0,0,10,2,
1983,DSF,B,QUE,NHL,BUF,NHL,3,0,0,13,5,
1983,DSF,C,NYI,NHL,NYR,NHL,3,2,0,13,14,
1983,DSF,D,WAS,NHL,PHI,NHL,3,0,0,15,5,
1983,DSF,E,MNS,NHL,CHI,NHL,3,2,0,18,14,
1983,DSF,F,STL,NHL,DET,NHL,3,1,0,13,12,
1983,DSF,G,EDM,NHL,WIN,NHL,3,0,0,18,7,
1983,DSF,H,CAL,NHL,VAN,NHL,3,1,0,14,13,
1983,DF,I,MTL,NHL,QUE,NHL,4,2,0,20,13,
1983,DF,J,NYI,NHL,WAS,NHL,4,1,0,20,13,
1983,DF,K,MNS,NHL,STL,NHL,4,3,0,19,17,
1983,DF,L,EDM,NHL,CAL,NHL,4,3,0,33,27,
1983,CF,M,NYI,NHL,MTL,NHL,4,2,0,17,12,
1983,CF,N,EDM,NHL,MNS,NHL,4,0,0,22,10,
1983,SCF,O,EDM,NHL,NYI,NHL,4,1,0,21,12,
1984,DSF,A,MTL,NHL,BOS,NHL,3,2,0,19,17,
1984,DSF,B,QUE,NHL,BUF,NHL,3,2,0,22,22,
1984,DSF,C,PHI,NHL,NYR,NHL,3,0,0,14,10,
1984,DSF,D,NYI,NHL,WAS,NHL,3,2,0,14,12,
1984,DSF,E,MNS,NHL,STL,NHL,3,0,0,9,5,
1984,DSF,F,CHI,NHL,DET,NHL,3,0,0,23,8,
1984,DSF,G,EDM,NHL,LAK,NHL,3,0,0,11,7,
1984,DSF,H,WIN,NHL,CAL,NHL,3,1,0,15,13,
1984,DF,I,QUE,NHL,MTL,NHL,4,3,0,24,24,
1984,DF,J,PHI,NHL,NYI,NHL,4,1,0,16,11,
1984,DF,K,CHI,NHL,MNS,NHL,4,2,0,33,29,
1984,DF,L,EDM,NHL,WIN,NHL,4,0,0,22,11,
1984,CF,M,PHI,NHL,QUE,NHL,4,2,0,17,12,
1984,CF,N,EDM,NHL,CHI,NHL,4,2,0,44,25,
1984,SCF,O,EDM,NHL,PHI,NHL,4,1,0,21,14,
1985,DSF,A,HAR,NHL,QUE,NHL,3,0,0,16,7,
1985,DSF,B,MTL,NHL,BOS,NHL,3,0,0,10,6,
1985,DSF,C,NYR,NHL,PHI,NHL,3,2,0,18,15,
1985,DSF,D,WAS,NHL,NYI,NHL,3,0,0,11,4,
1985,DSF,E,TOR,NHL,CHI,NHL,3,0,0,18,9,
1985,DSF,F,STL,NHL,MNS,NHL,3,2,0,18,20,
1985,DSF,G,EDM,NHL,VAN,NHL,3,0,0,17,5,
1985,DSF,H,CAL,NHL,WIN,NHL,3,0,0,15,8,
1985,DF,I,MTL,NHL,HAR,NHL,4,3,0,16,13,
1985,DF,J,NYR,NHL,WAS,NHL,4,2,0,20,25,
1985,DF,K,STL,NHL,TOR,NHL,4,3,0,24,22,
1985,DF,L,CAL,NHL,EDM,NHL,4,3,0,25,24,
1985,CF,M,MTL,NHL,NYR,NHL,4,1,0,15,9,
1985,CF,N,CAL,NHL,STL,NHL,4,3,0,28,22,
1985,SCF,O,MTL,NHL,CAL,NHL,4,1,0,15,13,
1986,DSF,A,QUE,NHL,HAR,NHL,4,2,0,27,19,
1986,DSF,B,MTL,NHL,BOS,NHL,4,0,0,19,11,
1986,DSF,C,PHI,NHL,NYR,NHL,4,2,0,22,13,
1986,DSF,D,NYI,NHL,WAS,NHL,4,3,0,19,19,
1986,DSF,E,TOR,NHL,STL,NHL,4,2,0,15,12,
1986,DSF,F,DET,NHL,CHI,NHL,4,0,0,15,6,
1986,DSF,G,EDM,NHL,LAK,NHL,4,1,0,32,20,
1986,DSF,H,WIN,NHL,CAL,NHL,4,2,0,22,15,
1986,DF,I,MTL,NHL,QUE,NHL,4,3,0,26,21,
1986,DF,J,PHI,NHL,NYI,NHL,4,3,0,23,16,
1986,DF,K,DET,NHL,TOR,NHL,4,3,0,20,18,
1986,DF,L,EDM,NHL,WIN,NHL,4,0,0,17,9,
1986,CF,M,PHI,NHL,MTL,NHL,4,2,0,22,22,
1986,CF,N,EDM,NHL,DET,NHL,4,1,0,16,10,
1986,SCF,O,EDM,NHL,PHI,NHL,4,3,0,22,18,
1987,DSF,A,MTL,NHL,HAR,NHL,4,2,0,23,20,
1987,DSF,B,BOS,NHL,BUF,NHL,4,2,0,28,22,
1987,DSF,C,NJD,NHL,NYI,NHL,4,2,0,23,18,
1987,DSF,D,WAS,NHL,PHI,NHL,4,3,0,31,25,
1987,DSF,E,DET,NHL,TOR,NHL,4,2,0,32,20,
1987,DSF,F,STL,NHL,CHI,NHL,4,1,0,21,17,
1987,DSF,G,CAL,NHL,LAK,NHL,4,1,0,30,18,
1987,DSF,H,EDM,NHL,WIN,NHL,4,1,0,25,17,
1987,DF,I,BOS,NHL,MTL,NHL,4,1,0,15,10,
1987,DF,J,NJD,NHL,WAS,NHL,4,3,0,25,23,
1987,DF,K,DET,NHL,STL,NHL,4,1,0,21,14,
1987,DF,L,EDM,NHL,CAL,NHL,4,0,0,18,11,
1987,CF,M,BOS,NHL,NJD,NHL,4,3,0,30,19,
1987,CF,N,EDM,NHL,DET,NHL,4,1,0,23,16,
1987,SCF,O,EDM,NHL,BOS,NHL,4,0,1,21,12,
1988,DSF,A,MTL,NHL,HAR,NHL,4,0,0,18,11,
1988,DSF,B,BOS,NHL,BUF,NHL,4,1,0,16,14,
1988,DSF,C,PHI,NHL,WAS,NHL,4,2,0,25,19,
1988,DSF,D,PIT,NHL,NYR,NHL,4,0,0,19,11,
1988,DSF,E,CHI,NHL,DET,NHL,4,2,0,25,18,
1988,DSF,F,STL,NHL,MNS,NHL,4,1,0,23,15,
1988,DSF,G,CAL,NHL,VAN,NHL,4,3,0,26,20,
1988,DSF,H,LAK,NHL,EDM,NHL,4,3,0,25,20,
1988,DF,I,MTL,NHL,BOS,NHL,4,1,0,16,13,
1988,DF,J,PHI,NHL,PIT,NHL,4,3,0,31,24,
1988,DF,K,CHI,NHL,STL,NHL,4,1,0,19,12,
1988,DF,L,CAL,NHL,LAK,NHL,4,0,0,22,11,
1988,CF,M,MTL,NHL,PHI,NHL,4,2,0,17,8,
1988,CF,N,CAL,NHL,CHI,NHL,4,1,0,15,8,
1988,SCF,O,CAL,NHL,MTL,NHL,4,2,0,19,16,
1989,DSF,A,BOS,NHL,HAR,NHL,4,3,0,23,21,
1989,DSF,B,MTL,NHL,BUF,NHL,4,2,0,17,13,
1989,DSF,C,NYR,NHL,NYI,NHL,4,1,0,22,13,
1989,DSF,D,WAS,NHL,NJD,NHL,4,2,0,21,18,
1989,DSF,E,CHI,NHL,MNS,NHL,4,3,0,21,18,
1989,DSF,F,STL,NHL,TOR,NHL,4,1,0,20,16,
1989,DSF,G,LAK,NHL,CAL,NHL,4,2,0,29,24,
1989,DSF,H,EDM,NHL,WIN,NHL,4,3,0,24,22,
1989,DF,I,BOS,NHL,MTL,NHL,4,1,0,16,12,
1989,DF,J,WAS,NHL,NYR,NHL,4,1,0,22,15,
1989,DF,K,CHI,NHL,STL,NHL,4,3,0,28,22,
1989,DF,L,EDM,NHL,LAK,NHL,4,0,0,24,10,
1989,CF,M,BOS,NHL,WAS,NHL,4,0,0,15,6,
1989,CF,N,EDM,NHL,CHI,NHL,4,2,0,25,20,
1989,SCF,O,EDM,NHL,BOS,NHL,4,1,0,20,8,
1990,DSF,A,BOS,NHL,HAR,NHL,4,2,0,24,17,
1990,DSF,B,MTL,NHL,BUF,NHL,4,2,0,29,24,
1990,DSF,C,PIT,NHL,NJD,NHL,4,3,0,21,21,
1990,DSF,D,WAS,NHL,NYR,NHL,4,2,0,16,16,
1990,DSF,E,MNS,NHL,CHI,NHL,4,2,0,23,16,
1990,DSF,F,STL,NHL,DET,NHL,4,3,0,24,20,
1990,DSF,G,LAK,NHL,VAN,NHL,4,2,0,26,16,
1990,DSF,H,EDM,NHL,CAL,NHL,4,3,0,22,20,
1990,DF,I,BOS,NHL,MTL,NHL,4,3,0,18,18,
1990,DF,J,PIT,NHL,WAS,NHL,4,1,0,19,13,
1990,DF,K,MNS,NHL,STL,NHL,4,2,0,22,17,
1990,DF,L,EDM,NHL,LAK,NHL,4,2,0,21,20,
1990,CF,M,PIT,NHL,BOS,NHL,4,2,0,27,18,
1990,CF,N,MNS,NHL,EDM,NHL,4,1,0,20,14,
1990,SCF,O,PIT,NHL,MNS,NHL,4,2,0,28,16,
1991,DSF,A,MTL,NHL,HAR,NHL,4,3,0,21,18,
1991,DSF,B,BOS,NHL,BUF,NHL,4,3,0,19,24,
1991,DSF,C,NYR,NHL,NJD,NHL,4,3,0,28,25,
1991,DSF,D,PIT,NHL,WAS,NHL,4,3,0,25,27,
1991,DSF,E,DET,NHL,MNS,NHL,4,3,0,23,19,
1991,DSF,F,CHI,NHL,STL,NHL,4,2,0,23,19,
1991,DSF,G,VAN,NHL,WIN,NHL,4,3,0,29,17,
1991,DSF,H,EDM,NHL,LAK,NHL,4,2,0,23,18,
1991,DF,I,BOS,NHL,MTL,NHL,4,0,0,14,8,
1991,DF,J,PIT,NHL,NYR,NHL,4,2,0,24,19,
1991,DF,K,CHI,NHL,DET,NHL,4,0,0,11,6,
1991,DF,L,EDM,NHL,VAN,NHL,4,2,0,18,15,
1991,CF,M,PIT,NHL,BOS,NHL,4,0,0,19,7,
1991,CF,N,CHI,NHL,EDM,NHL,4,0,0,21,8,
1991,SCF,O,PIT,NHL,CHI,NHL,4,0,0,15,10,
1992,DSF,A,BUF,NHL,BOS,NHL,4,0,0,19,12,
1992,DSF,B,MTL,NHL,QUE,NHL,4,2,0,19,16,
1992,DSF,C,PIT,NHL,NJD,NHL,4,1,0,23,13,
1992,DSF,D,NYI,NHL,WAS,NHL,4,2,0,23,22,
1992,DSF,E,STL,NHL,CHI,NHL,4,0,0,13,6,
1992,DSF,F,TOR,NHL,DET,NHL,4,3,0,24,30,
1992,DSF,G,VAN,NHL,WIN,NHL,4,2,0,21,17,
1992,DSF,H,LAK,NHL,CAL,NHL,4,2,0,33,28,
1992,DF,I,MTL,NHL,BUF,NHL,4,0,0,16,12,
1992,DF,J,NYI,NHL,PIT,NHL,4,3,0,24,27,
1992,DF,K,TOR,NHL,STL,NHL,4,3,0,22,11,
1992,DF,L,LAK,NHL,VAN,NHL,4,2,0,26,25,
1992,CF,M,MTL,NHL,NYI,NHL,4,1,0,16,11,
1992,CF,N,LAK,NHL,TOR,NHL,4,3,0,22,23,
1992,SCF,O,MTL,NHL,LAK,NHL,4,1,0,15,12,
1993,CQF,A,NYR,NHL,NYI,NHL,4,0,0,22,3,
1993,CQF,B,WAS,NHL,PIT,NHL,4,2,0,20,12,
1993,CQF,C,NJD,NHL,BUF,NHL,4,3,0,14,14,
1993,CQF,D,BOS,NHL,MTL,NHL,4,3,0,22,20,
1993,CQF,E,SJS,NHL,DET,NHL,4,3,0,21,27,
1993,CQF,F,VAN,NHL,CAL,NHL,4,3,0,23,20,
1993,CQF,G,TOR,NHL,CHI,NHL,4,2,0,15,10,
1993,CQF,H,DAL,NHL,STL,NHL,4,0,0,16,10,
1993,CSF,I,NYR,NHL,WAS,NHL,4,1,0,20,12,
1993,CSF,J,NJD,NHL,BOS,NHL,4,2,0,22,17,
1993,CSF,K,TOR,NHL,SJS,NHL,4,3,0,26,21,
1993,CSF,L,VAN,NHL,DAL,NHL,4,1,0,18,11,
1993,CF,M,NYR,NHL,NJD,NHL,4,3,0,18,16,
1993,CF,N,VAN,NHL,TOR,NHL,4,1,0,16,9,
1993,SCF,O,NYR,NHL,VAN,NHL,4,3,0,21,19,
1994,CQF,A,NYR,NHL,QUE,NHL,4,2,0,25,19,
1994,CQF,B,PHI,NHL,BUF,NHL,4,1,0,18,13,
1994,CQF,C,PIT,NHL,WAS,NHL,4,3,0,29,26,
1994,CQF,D,NJD,NHL,BOS,NHL,4,1,0,14,5,
1994,CQF,E,DET,NHL,DAL,NHL,4,1,0,17,10,
1994,CQF,F,SJS,NHL,CAL,NHL,4,3,0,26,35,
1994,CQF,G,VAN,NHL,STL,NHL,4,3,0,27,27,
1994,CQF,H,CHI,NHL,TOR,NHL,4,3,0,22,20,
1994,CSF,I,PHI,NHL,NYR,NHL,4,0,0,18,10,
1994,CSF,J,NJD,NHL,PIT,NHL,4,1,0,17,8,
1994,CSF,K,DET,NHL,SJS,NHL,4,0,0,24,6,
1994,CSF,L,CHI,NHL,VAN,NHL,4,0,0,11,6,
1994,CF,M,NJD,NHL,PHI,NHL,4,2,0,20,14,
1994,CF,N,DET,NHL,CHI,NHL,4,1,0,13,12,
1994,SCF,O,NJD,NHL,DET,NHL,4,0,0,16,7,
1995,CQF,A,PHI,NHL,TBL,NHL,4,2,0,26,13,
1995,CQF,B,PIT,NHL,WAS,NHL,4,2,0,21,17,
1995,CQF,C,NYR,NHL,MTL,NHL,4,2,0,19,17,
1995,CQF,D,FLO,NHL,BOS,NHL,4,1,0,22,16,
1995,CQF,E,DET,NHL,WIN,NHL,4,2,0,20,10,
1995,CQF,F,COL,NHL,VAN,NHL,4,2,0,24,17,
1995,CQF,G,CHI,NHL,CAL,NHL,4,0,0,16,7,
1995,CQF,H,STL,NHL,TOR,NHL,4,2,0,21,15,
1995,CSF,I,FLO,NHL,PHI,NHL,4,2,0,15,11,
1995,CSF,J,PIT,NHL,NYR,NHL,4,1,0,21,15,
1995,CSF,K,DET,NHL,STL,NHL,4,3,0,22,16,
1995,CSF,L,COL,NHL,CHI,NHL,4,2,0,21,14,
1995,CF,M,FLO,NHL,PIT,NHL,4,3,0,20,15,
1995,CF,N,COL,NHL,DET,NHL,4,2,0,20,16,
1995,SCF,O,COL,NHL,FLO,NHL,4,0,0,15,4,
1996,CQF,A,NJD,NHL,MTL,NHL,4,1,0,22,11,
1996,CQF,B,BUF,NHL,OTT,NHL,4,3,0,14,13,
1996,CQF,C,PHI,NHL,PIT,NHL,4,1,0,20,13,
1996,CQF,D,NYR,NHL,FLO,NHL,4,1,0,13,10,
1996,CQF,E,COL,NHL,CHI,NHL,4,2,0,28,14,
1996,CQF,F,EDM,NHL,DAL,NHL,4,3,0,21,18,
1996,CQF,G,DET,NHL,STL,NHL,4,2,0,13,12,
1996,CQF,H,ANA,NHL,PHO,NHL,4,3,0,17,17,
1996,CSF,I,NYR,NHL,NJD,NHL,4,1,0,10,5,
1996,CSF,J,PHI,NHL,BUF,NHL,4,1,0,21,13,
1996,CSF,K,COL,NHL,EDM,NHL,4,1,0,19,11,
1996,CSF,L,DET,NHL,ANA,NHL,4,0,0,13,8,
1996,CF,M,PHI,NHL,NYR,NHL,4,1,0,20,13,
1996,CF,N,DET,NHL,COL,NHL,4,2,0,16,12,
1996,SCF,O,DET,NHL,PHI,NHL,4,0,0,16,6,
1997,CQF,A,OTT,NHL,NJD,NHL,4,2,0,13,12,
1997,CQF,B,MTL,NHL,PIT,NHL,4,2,0,18,15,
1997,CQF,C,BUF,NHL,PHI,NHL,4,1,0,18,9,
1997,CQF,D,WAS,NHL,BOS,NHL,4,2,0,15,13,
1997,CQF,E,DAL,NHL,SJS,NHL,4,2,0,16,12,
1997,CQF,F,EDM,NHL,COL,NHL,4,3,0,19,16,
1997,CQF,G,DET,NHL,PHO,NHL,4,2,0,24,18,
1997,CQF,H,STL,NHL,LAK,NHL,4,0,0,16,8,
1997,CSF,I,WAS,NHL,OTT,NHL,4,1,0,18,7,
1997,CSF,J,BUF,NHL,MTL,NHL,4,0,0,17,10,
1997,CSF,K,DAL,NHL,EDM,NHL,4,1,0,9,5,
1997,CSF,L,DET,NHL,STL,NHL,4,2,0,23,13,
1997,CF,M,WAS,NHL,BUF,NHL,4,2,0,13,11,
1997,CF,N,DET,NHL,DAL,NHL,4,2,0,15,11,
1997,SCF,O,DET,NHL,WAS,NHL,4,0,0,13,7,
1998,CQF,A,PIT,NHL,NJD,NHL,4,3,0,21,18,
1998,CQF,B,BUF,NHL,OTT,NHL,4,0,0,12,6,
1998,CQF,C,BOS,NHL,CAR,NHL,4,2,0,16,10,
1998,CQF,D,TOR,NHL,PHI,NHL,4,2,0,9,11,
1998,CQF,E,DAL,NHL,EDM,NHL,4,0,0,11,7,
1998,CQF,F,COL,NHL,SJS,NHL,4,2,0,19,17,
1998,CQF,G,DET,NHL,ANA,NHL,4,0,0,17,6,
1998,CQF,H,STL,NHL,PHO,NHL,4,3,0,19,16,
1998,CSF,I,TOR,NHL,PIT,NHL,4,2,0,18,14,
1998,CSF,J,BUF,NHL,BOS,NHL,4,2,0,17,14,
1998,CSF,K,DAL,NHL,STL,NHL,4,2,0,17,12,
1998,CSF,L,COL,NHL,DET,NHL,4,2,0,21,14,
1998,CF,M,BUF,NHL,TOR,NHL,4,1,0,21,16,
1998,CF,N,DAL,NHL,COL,NHL,4,3,0,23,16,
1998,SCF,O,DAL,NHL,BUF,NHL,4,2,0,13,9,
1999,CQF,A,PHI,NHL,BUF,NHL,4,1,0,14,8,
1999,CQF,B,PIT,NHL,WAS,NHL,4,1,0,17,8,
1999,CQF,C,TOR,NHL,OTT,NHL,4,2,0,17,10,
1999,CQF,D,NJD,NHL,FLO,NHL,4,0,0,12,6,
1999,CQF,E,SJS,NHL,STL,NHL,4,3,0,20,22,
1999,CQF,F,DAL,NHL,EDM,NHL,4,1,0,14,11,
1999,CQF,G,COL,NHL,PHO,NHL,4,1,0,17,10,
1999,CQF,H,DET,NHL,LAK,NHL,4,0,0,15,6,
1999,CSF,I,PHI,NHL,PIT,NHL,4,2,0,15,14,
1999,CSF,J,NJD,NHL,TOR,NHL,4,2,0,16,9,
1999,CSF,K,DAL,NHL,SJS,NHL,4,1,0,15,7,
1999,CSF,L,COL,NHL,DET,NHL,4,1,0,13,8,
1999,CF,M,NJD,NHL,PHI,NHL,4,3,0,18,15,
1999,CF,N,DAL,NHL,COL,NHL,4,3,0,14,13,
1999,SCF,O,NJD,NHL,DAL,NHL,4,2,0,15,9,
2000,CQF,A,NJD,NHL,CAR,NHL,4,2,0,20,8,
2000,CQF,B,TOR,NHL,OTT,NHL,4,0,0,10,3,
2000,CQF,C,PIT,NHL,WAS,NHL,4,2,0,14,10,
2000,CQF,D,BUF,NHL,PHI,NHL,4,2,0,21,13,
2000,CQF,E,COL,NHL,VAN,NHL,4,0,0,16,9,
2000,CQF,F,LAK,NHL,DET,NHL,4,2,0,15,17,
2000,CQF,G,DAL,NHL,EDM,NHL,4,2,0,16,13,
2000,CQF,H,STL,NHL,SJS,NHL,4,2,0,16,11,
2000,CSF,I,NJD,NHL,TOR,NHL,4,3,0,21,18,
2000,CSF,J,PIT,NHL,BUF,NHL,4,3,0,17,17,
2000,CSF,K,COL,NHL,LAK,NHL,4,3,0,17,10,
2000,CSF,L,STL,NHL,DAL,NHL,4,0,0,13,6,
2000,CF,M,NJD,NHL,PIT,NHL,4,1,0,17,7,
2000,CF,N,COL,NHL,STL,NHL,4,1,0,17,11,
2000,SCF,O,COL,NHL,NJD,NHL,4,3,0,19,11,
2001,CQF,A,MTL,NHL,BOS,NHL,4,2,0,20,18,
2001,CQF,B,OTT,NHL,PHI,NHL,4,1,0,11,2,
2001,CQF,C,CAR,NHL,NJD,NHL,4,2,0,9,11,
2001,CQF,D,TOR,NHL,NYI,NHL,4,3,0,22,21,
2001,CQF,E,DET,NHL,VAN,NHL,4,2,0,22,16,
2001,CQF,F,COL,NHL,LAK,NHL,4,3,0,16,13,
2001,CQF,G,SJS,NHL,PHO,NHL,4,1,0,13,7,
2001,CQF,H,STL,NHL,CHI,NHL,4,1,0,13,5,
2001,CSF,I,CAR,NHL,MTL,NHL,4,2,0,21,12,
2001,CSF,J,TOR,NHL,OTT,NHL,4,3,0,16,18,
2001,CSF,K,DET,NHL,STL,NHL,4,1,0,14,11,
2001,CSF,L,COL,NHL,SJS,NHL,4,3,0,25,21,
2001,CF,M,CAR,NHL,TOR,NHL,4,2,0,10,6,
2001,CF,N,DET,NHL,COL,NHL,4,3,0,22,13,
2001,SCF,O,DET,NHL,CAR,NHL,4,1,0,14,7,
2002,CQF,A,OTT,NHL,NYI,NHL,4,1,0,13,7,
2002,CQF,B,NJD,NHL,BOS,NHL,4,1,0,13,8,
2002,CQF,C,TBL,NHL,WAS,NHL,4,2,0,14,15,
2002,CQF,D,PHI,NHL,TOR,NHL,4,3,0,24,16,
2002,CQF,E,DAL,NHL,EDM,NHL,4,2,0,20,11,
2002,CQF,F,ANA,NHL,DET,NHL,4,0,0,10,6,
2002,CQF,G,MIN,NHL,COL,NHL,4,3,0,16,17,
2002,CQF,H,VAN,NHL,STL,NHL,4,3,0,17,21,
2002,CSF,I,OTT,NHL,PHI,NHL,4,2,0,17,10,
2002,CSF,J,NJD,NHL,TBL,NHL,4,1,0,14,8,
2002,CSF,K,ANA,NHL,DAL,NHL,4,2,0,14,14,
2002,CSF,L,MIN,NHL,VAN,NHL,4,3,0,26,17,
2002,CF,M,NJD,NHL,OTT,NHL,4,3,0,17,13,
2002,CF,N,ANA,NHL,MIN,NHL,4,0,0,9,1,
2002,SCF,O,NJD,NHL,ANA,NHL,4,3,0,19,12,
2003,CQF,A,TBL,NHL,NYI,NHL,4,1,0,12,5,
2003,CQF,B,MTL,NHL,BOS,NHL,4,3,0,19,14,
2003,CQF,C,PHI,NHL,NJD,NHL,4,1,0,14,9,
2003,CQF,D,TOR,NHL,OTT,NHL,4,3,0,14,11,
2003,CQF,E,DET,NHL,NAS,NHL,4,2,0,12,9,
2003,CQF,F,SJS,NHL,STL,NHL,4,1,0,12,9,
2003,CQF,G,CAL,NHL,VAN,NHL,4,3,0,19,16,
2003,CQF,H,COL,NHL,DAL,NHL,4,1,0,19,10,
2003,CSF,I,TBL,NHL,MTL,NHL,4,0,0,14,5,
2003,CSF,J,PHI,NHL,TOR,NHL,4,2,0,17,13,
2003,CSF,K,CAL,NHL,DET,NHL,4,2,0,11,12,
2003,CSF,L,SJS,NHL,COL,NHL,4,2,0,14,7,
2003,CF,M,TBL,NHL,PHI,NHL,4,3,0,21,19,
2003,CF,N,CAL,NHL,SJS,NHL,4,2,0,16,12,
2003,SCF,O,TBL,NHL,CAL,NHL,4,3,0,13,14,
2005,CQF,A,OTT,NHL,TBL,NHL,4,1,0,23,13,
2005,CQF,B,CAR,NHL,MTL,NHL,4,2,0,15,17,
2005,CQF,C,NJD,NHL,NYR,NHL,4,0,0,17,4,
2005,CQF,D,BUF,NHL,PHI,NHL,4,2,0,27,14,
2005,CQF,E,EDM,NHL,DET,NHL,4,2,0,19,17,
2005,CQF,F,COL,NHL,DAL,NHL,4,1,0,18,15,
2005,CQF,G,ANA,NHL,CAL,NHL,4,3,0,17,16,
2005,CQF,H,SJS,NHL,NAS,NHL,4,1,0,17,10,
2005,CSF,I,BUF,NHL,OTT,NHL,4,1,0,16,13,
2005,CSF,J,CAR,NHL,NJD,NHL,4,1,0,17,10,
2005,CSF,K,EDM,NHL,SJS,NHL,4,2,0,19,12,
2005,CSF,L,ANA,NHL,COL,NHL,4,0,0,16,4,
2005,CF,M,CAR,NHL,BUF,NHL,4,3,0,22,17,
2005,CF,N,EDM,NHL,ANA,NHL,4,1,0,16,13,
2005,SCF,O,CAR,NHL,EDM,NHL,4,3,0,19,16,
2006,CQF,A,BUF,NHL,NYI,NHL,4,1,0,17,11,
2006,CQF,B,NJD,NHL,TBL,NHL,4,2,0,19,14,
2006,CQF,C,NYR,NHL,ATL,NHL,4,0,0,17,6,
2006,CQF,D,OTT,NHL,PIT,NHL,4,1,0,18,10,
2006,CQF,E,DET,NHL,CAL,NHL,4,2,0,18,10,
2006,CQF,F,AND,NHL,MIN,NHL,4,1,0,12,9,
2006,CQF,G,VAN,NHL,DAL,NHL,4,3,0,13,12,
2006,CQF,H,SJS,NHL,NAS,NHL,4,1,0,16,14,
2006,CSF,I,BUF,NHL,NYR,NHL,4,2,0,17,13,
2006,CSF,J,OTT,NHL,NJD,NHL,4,1,0,15,11,
2006,CSF,K,DET,NHL,SJS,NHL,4,2,0,13,9,
2006,CSF,L,AND,NHL,VAN,NHL,4,1,0,14,8,
2006,CF,M,OTT,NHL,BUF,NHL,4,1,0,15,10,
2006,CF,N,AND,NHL,DET,NHL,4,2,0,16,17,
2006,SCF,O,AND,NHL,OTT,NHL,4,1,0,16,11,
2007,CQF,A,MTL,NHL,BOS,NHL,4,3,0,19,15,
2007,CQF,B,PIT,NHL,OTT,NHL,4,0,0,16,5,
2007,CQF,C,PHI,NHL,WAS,NHL,4,3,0,23,20,
2007,CQF,D,NYR,NHL,NJD,NHL,4,1,0,19,12,
2007,CQF,E,DET,NHL,NAS,NHL,4,2,0,17,12,
2007,CQF,F,SJS,NHL,CAL,NHL,4,3,0,19,17,
2007,CQF,G,COL,NHL,MIN,NHL,4,2,0,17,12,
2007,CQF,H,DAL,NHL,AND,NHL,4,2,0,20,13,
2007,CSF,I,PHI,NHL,MTL,NHL,4,1,0,20,14,
2007,CSF,J,PIT,NHL,NYR,NHL,4,1,0,15,12,
2007,CSF,K,DET,NHL,COL,NHL,4,0,0,21,9,
2007,CSF,L,DAL,NHL,SJS,NHL,4,2,0,15,11,
2007,CF,M,PIT,NHL,PHI,NHL,4,1,0,20,9,
2007,CF,N,DET,NHL,DAL,NHL,4,2,0,17,10,
2007,SCF,O,DET,NHL,PIT,NHL,4,2,0,17,10,
2008,CQF,A,BOS,NHL,MTL,NHL,4,0,0,17,6,
2008,CQF,B,WAS,NHL,NYR,NHL,4,3,0,19,11,
2008,CQF,C,CAR,NHL,NJD,NHL,4,3,0,17,15,
2008,CQF,D,PIT,NHL,PHI,NHL,4,2,0,18,16,
2008,CQF,E,AND,NHL,SJS,NHL,4,2,0,18,10,
2008,CQF,F,DET,NHL,CBS,NHL,4,0,0,18,7,
2008,CQF,G,VAN,NHL,STL,NHL,4,0,0,11,5,
2008,CQF,H,CHI,NHL,CAL,NHL,4,2,0,21,16,
2008,CSF,I,CAR,NHL,BOS,NHL,4,3,0,16,17,
2008,CSF,J,PIT,NHL,WAS,NHL,4,3,0,27,22,
2008,CSF,K,DET,NHL,AND,NHL,4,3,0,22,17,
2008,CSF,L,CHI,NHL,VAN,NHL,4,2,0,23,19,
2008,CF,M,PIT,NHL,CAR,NHL,4,0,0,20,9,
2008,CF,N,DET,NHL,CHI,NHL,4,1,0,19,10,
