year,lgID,tmID,G,W,L,T,GF,GA,PIM,BenchMinor,PPG,PPC,SHA,PKG,PKC,SHF
1979,NHL,ATF,4,1,3,0,8,14,68,0,4,20,1,3,18,0
1979,NHL,BOS,10,4,6,0,35,33,346,0,6,37,1,8,33,2
1979,NHL,BUF,14,9,5,0,48,36,237,6,17,61,3,9,55,1
1979,NHL,CHI,7,3,4,0,19,20,120,0,7,23,0,7,26,0
1979,NHL,EDM,3,0,3,0,6,12,55,0,1,16,0,2,11,0
1979,NHL,HAR,3,0,3,0,8,18,22,0,0,7,0,2,10,1
1979,NHL,LAK,4,1,3,0,10,21,73,2,1,16,2,3,15,2
1979,NHL,MNS,15,8,7,0,49,56,206,0,17,86,4,17,56,3
1979,NHL,MTL,10,6,4,0,39,26,77,0,7,33,2,5,30,1
1979,NHL,NYI,21,15,6,0,88,66,550,0,25,96,3,14,88,7
1979,NHL,NYR,9,4,5,0,21,22,194,0,5,39,2,4,40,1
1979,NHL,PHI,19,13,6,0,78,53,530,4,16,76,3,23,117,5
1979,NHL,PIT,5,2,3,0,14,21,125,4,5,18,2,4,18,0
1979,NHL,STL,3,0,3,0,4,12,35,0,1,9,0,3,8,0
1979,NHL,TOR,3,0,3,0,8,17,101,0,4,15,0,7,23,0
1979,NHL,VAN,4,1,3,0,7,15,84,2,1,14,0,6,18,0
1980,NHL,BOS,3,0,3,0,13,20,90,0,2,8,1,5,19,3
1980,NHL,BUF,8,4,4,0,30,30,175,0,10,27,1,5,28,0
1980,NHL,CAL,16,9,7,0,55,60,365,2,17,74,5,19,65,0
1980,NHL,CHI,3,0,3,0,9,15,43,2,1,11,0,3,11,1
1980,NHL,EDM,9,5,4,0,35,35,157,2,9,43,2,15,46,1
1980,NHL,LAK,4,1,3,0,12,23,162,4,5,16,0,3,16,1
1980,NHL,MNS,19,12,7,0,84,74,321,4,24,98,5,18,66,6
1980,NHL,MTL,3,0,3,0,6,15,62,0,2,17,0,1,12,0
1980,NHL,NYI,18,15,3,0,97,48,310,0,31,80,1,19,96,9
1980,NHL,NYR,14,7,7,0,60,56,402,6,11,59,4,18,65,2
1980,NHL,PHI,12,6,6,0,48,39,415,10,11,37,0,14,61,2
1980,NHL,PIT,5,2,3,0,21,20,141,4,6,24,0,8,23,1
1980,NHL,QUE,5,2,3,0,17,22,221,4,5,24,2,2,13,0
1980,NHL,STL,11,5,6,0,42,50,281,4,14,53,3,10,47,0
1980,NHL,TOR,3,0,3,0,4,20,56,4,1,12,2,6,16,0
1980,NHL,VAN,3,0,3,0,7,13,77,0,1,12,0,4,11,0
1981,NHL,BOS,11,6,5,0,43,39,253,2,9,40,1,14,42,0
1981,NHL,BUF,4,1,3,0,11,17,104,0,6,17,0,4,15,0
1981,NHL,CAL,3,0,3,0,5,10,112,2,2,12,0,2,10,0
1981,NHL,CHI,15,8,7,0,50,51,547,4,11,62,1,14,72,2
1981,NHL,EDM,5,2,3,0,23,27,178,2,3,18,0,9,26,3
1981,NHL,LAK,10,4,6,0,41,42,309,0,14,44,3,6,32,0
1981,NHL,MNS,4,1,3,0,14,14,145,2,5,25,1,3,18,0
1981,NHL,MTL,5,2,3,0,16,11,201,2,4,36,1,3,26,3
1981,NHL,NYI,19,15,4,0,85,52,458,0,23,77,0,16,84,4
1981,NHL,NYR,10,5,5,0,39,42,216,4,13,46,4,11,43,0
1981,NHL,PHI,4,1,3,0,15,19,81,0,6,20,0,8,21,2
1981,NHL,PIT,5,2,3,0,13,22,112,2,3,25,0,4,21,0
1981,NHL,QUE,16,7,9,0,48,60,414,8,15,66,4,15,74,2
1981,NHL,STL,10,5,5,0,39,36,234,4,6,44,1,10,50,1
1981,NHL,VAN,17,11,6,0,57,50,675,2,14,62,1,18,70,0
1981,NHL,WIN,4,1,3,0,13,20,121,0,5,26,0,2,16,0
1982,NHL,BOS,17,9,8,0,65,61,332,2,13,77,1,15,67,4
1982,NHL,BUF,10,6,4,0,31,35,208,2,7,36,2,5,41,0
1982,NHL,CAL,9,4,5,0,30,49,317,2,9,45,5,8,43,2
1982,NHL,CHI,13,7,6,0,49,51,269,4,12,60,2,17,62,2
1982,NHL,EDM,16,11,5,0,80,50,372,0,14,72,2,18,74,10
1982,NHL,MNS,9,4,5,0,34,40,192,4,12,42,2,10,42,0
1982,NHL,MTL,3,0,3,0,2,8,51,0,1,13,0,2,7,0
1982,NHL,NYI,20,15,5,0,94,53,329,0,20,81,3,13,100,3
1982,NHL,NYR,9,5,4,0,33,37,171,2,9,47,3,10,40,1
1982,NHL,PHI,3,0,3,0,9,18,75,0,3,17,0,4,16,0
1982,NHL,QUE,4,1,3,0,8,11,117,0,2,12,0,3,24,1
1982,NHL,STL,4,1,3,0,10,16,116,0,5,22,0,3,23,0
1982,NHL,TOR,4,1,3,0,18,18,109,0,6,21,0,5,20,0
1982,NHL,VAN,4,1,3,0,14,17,136,0,2,20,0,4,18,0
1982,NHL,WAS,4,1,3,0,11,19,98,0,1,24,0,3,18,0
1982,NHL,WIN,3,0,3,0,9,14,74,0,6,17,3,2,11,0
1983,NHL,BOS,3,0,3,0,2,10,77,0,1,13,0,2,12,0
1983,NHL,BUF,3,0,3,0,5,13,75,0,0,16,2,2,10,0
1983,NHL,CAL,11,6,5,0,41,46,224,2,10,53,2,11,49,3
1983,NHL,CHI,5,2,3,0,14,18,134,0,3,23,1,4,23,1
1983,NHL,DET,4,1,3,0,12,13,131,0,4,25,1,5,17,1
1983,NHL,EDM,19,15,4,0,94,56,460,4,17,76,3,20,89,3
1983,NHL,MNS,16,7,9,0,47,53,335,2,14,67,4,12,66,3
1983,NHL,MTL,15,9,6,0,42,32,450,6,9,70,1,8,58,1
1983,NHL,NYI,21,12,9,0,62,60,405,0,13,81,1,18,101,2
1983,NHL,NYR,5,2,3,0,14,13,87,0,4,23,0,0,21,1
1983,NHL,PHI,3,0,3,0,5,15,126,0,1,7,0,3,11,0
1983,NHL,QUE,9,5,4,0,26,25,344,2,4,35,1,3,43,2
1983,NHL,STL,11,6,5,0,30,31,241,4,8,42,3,8,49,3
1983,NHL,VAN,4,1,3,0,13,14,85,2,3,19,1,2,16,0
1983,NHL,WAS,8,4,4,0,28,25,161,2,10,38,1,5,25,0
1983,NHL,WIN,3,0,3,0,7,18,76,0,2,10,0,0,8,1
1984,NHL,BOS,5,2,3,0,17,19,97,0,1,15,0,5,21,0
1984,NHL,BUF,5,2,3,0,22,22,151,4,2,25,0,6,25,0
1984,NHL,CAL,4,1,3,0,13,15,129,2,5,21,2,5,22,2
1984,NHL,CHI,15,9,6,0,81,81,443,4,18,76,3,17,79,1
1984,NHL,DET,3,0,3,0,8,23,101,0,2,16,0,7,16,0
1984,NHL,EDM,18,15,3,0,98,57,476,2,15,78,4,16,90,6
1984,NHL,LAK,3,0,3,0,7,11,47,0,1,16,1,0,10,0
1984,NHL,MNS,9,5,4,0,38,38,258,0,12,44,1,6,47,1
1984,NHL,MTL,12,6,6,0,43,41,320,0,13,51,0,8,49,1
1984,NHL,NYI,10,4,6,0,25,28,256,0,7,33,1,7,52,0
1984,NHL,NYR,3,0,3,0,10,14,76,0,4,11,0,5,16,0
1984,NHL,PHI,19,12,7,0,61,54,563,2,19,103,2,17,83,4
1984,NHL,QUE,18,9,9,0,58,63,533,6,16,87,3,18,90,2
1984,NHL,STL,3,0,3,0,5,9,72,0,2,15,0,2,9,1
1984,NHL,WAS,5,2,3,0,12,14,90,0,4,28,0,3,17,0
1984,NHL,WIN,8,3,5,0,26,35,194,2,10,40,5,9,33,4
1985,NHL,BOS,3,0,3,0,6,10,162,4,2,16,1,3,20,1
1985,NHL,CAL,22,12,10,0,81,69,805,2,25,109,5,15,103,5
1985,NHL,CHI,3,0,3,0,9,18,87,0,3,16,0,5,15,0
1985,NHL,EDM,10,6,4,0,41,30,321,6,8,39,2,8,51,4
1985,NHL,HAR,10,6,4,0,29,23,260,4,7,39,3,9,41,1
1985,NHL,MNS,5,2,3,0,20,18,142,2,6,24,1,2,25,1
1985,NHL,MTL,20,15,5,0,56,41,689,6,17,93,3,10,82,4
1985,NHL,NYI,3,0,3,0,4,11,84,0,1,11,0,3,13,0
1985,NHL,NYR,16,8,8,0,47,55,426,4,13,70,3,14,81,4
1985,NHL,PHI,5,2,3,0,15,18,145,0,3,29,2,5,21,0
1985,NHL,QUE,3,0,3,0,7,16,116,0,3,16,1,5,14,1
1985,NHL,STL,19,10,9,0,64,70,579,0,13,91,3,26,96,3
1985,NHL,TOR,10,6,4,0,40,33,284,0,12,48,1,9,45,0
1985,NHL,VAN,3,0,3,0,5,17,55,2,2,13,1,4,11,0
1985,NHL,WAS,9,5,4,0,36,24,209,0,9,40,1,7,36,2
1985,NHL,WIN,3,0,3,0,8,15,88,0,3,15,0,2,15,1
1986,NHL,BOS,4,0,4,0,11,19,86,4,5,19,1,4,18,1
1986,NHL,CAL,6,2,4,0,15,22,190,0,5,28,1,8,30,1
1986,NHL,CHI,4,0,4,0,6,15,104,0,0,17,1,4,15,0
1986,NHL,DET,16,9,7,0,45,40,426,0,9,56,1,9,58,1
1986,NHL,EDM,21,16,5,0,87,57,477,4,17,91,1,14,84,5
1986,NHL,HAR,6,2,4,0,19,27,317,2,6,35,1,12,39,0
1986,NHL,LAK,5,1,4,0,20,32,118,0,5,28,1,8,30,0
1986,NHL,MTL,17,10,7,0,67,54,433,6,16,60,2,11,63,3
1986,NHL,NYI,14,7,7,0,35,42,293,0,11,50,2,9,58,0
1986,NHL,NYR,6,2,4,0,13,22,172,0,4,35,2,3,32,0
1986,NHL,PHI,26,15,11,0,85,73,499,8,19,93,3,22,93,5
1986,NHL,QUE,13,7,6,0,48,45,504,2,15,70,2,11,63,1
1986,NHL,STL,6,2,4,0,12,15,182,2,5,30,0,2,28,0
1986,NHL,TOR,13,7,6,0,33,32,345,0,9,51,0,8,53,0
1986,NHL,WAS,7,3,4,0,19,19,199,0,2,36,0,4,30,0
1986,NHL,WIN,10,4,6,0,31,32,289,2,9,42,1,8,47,2
1987,NHL,BOS,23,12,10,1,85,72,813,6,20,131,,24,125,6
1987,NHL,BUF,6,2,4,0,22,28,286,2,11,36,,6,42,0
1987,NHL,CAL,9,4,5,0,41,36,310,2,12,60,,14,65,4
1987,NHL,CHI,5,1,4,0,17,21,188,0,8,29,,10,38,1
1987,NHL,DET,16,9,7,0,69,57,550,0,21,80,,20,104,3
1987,NHL,EDM,19,16,2,1,87,56,635,8,32,117,,20,117,2
1987,NHL,HAR,6,2,4,0,20,23,81,0,5,26,,6,26,0
1987,NHL,LAK,5,1,4,0,18,30,178,4,8,38,,8,34,0
1987,NHL,MTL,11,5,6,0,33,35,219,4,6,52,,5,50,1
1987,NHL,NJD,20,11,9,0,67,71,871,10,23,117,,22,128,4
1987,NHL,NYI,6,2,4,0,18,23,250,0,5,38,,10,43,3
1987,NHL,PHI,7,3,4,0,25,31,286,0,5,41,,8,47,0
1987,NHL,STL,10,5,5,0,35,38,321,0,16,71,,12,50,2
1987,NHL,TOR,6,2,4,0,20,32,189,0,6,41,,11,32,2
1987,NHL,WAS,14,7,7,0,54,50,529,0,14,99,,13,77,4
1987,NHL,WIN,5,1,4,0,17,25,213,0,7,37,,10,35,1
1988,NHL,BOS,10,5,5,0,29,30,229,2,6,47,,7,44,2
1988,NHL,BUF,5,1,4,0,14,16,188,0,6,31,,5,30,2
1988,NHL,CAL,22,16,6,0,82,55,563,0,28,131,,18,126,3
1988,NHL,CHI,16,9,7,0,52,45,484,6,16,90,,15,99,7
1988,NHL,DET,6,2,4,0,18,25,187,0,6,37,,10,37,0
1988,NHL,EDM,7,3,4,0,20,25,161,2,6,32,,11,36,1
1988,NHL,HAR,4,0,4,0,11,18,111,0,1,15,,4,18,1
1988,NHL,LAK,11,4,7,0,36,42,270,2,15,54,,11,57,1
1988,NHL,MNS,5,1,4,0,15,23,144,0,3,16,,5,30,1
1988,NHL,MTL,21,14,7,0,67,51,456,6,16,97,,9,88,2
1988,NHL,NYR,4,0,4,0,11,19,214,0,6,29,,6,27,0
1988,NHL,PHI,19,10,9,0,64,60,612,2,20,96,,26,119,8
1988,NHL,PIT,11,7,4,0,43,42,452,2,16,70,,17,69,1
1988,NHL,STL,10,5,5,0,35,34,216,6,8,56,,6,38,1
1988,NHL,VAN,7,3,4,0,20,26,160,2,7,44,,10,36,1
1988,NHL,WAS,6,2,4,0,19,25,155,0,9,43,,9,34,1
1989,NHL,BOS,21,13,8,0,62,59,421,12,15,93,1,9,88,3
1989,NHL,BUF,6,2,4,0,13,17,126,2,6,30,0,2,29,0
1989,NHL,CAL,6,2,4,0,24,29,149,6,2,33,1,10,46,2
1989,NHL,CHI,20,10,10,0,69,65,532,6,18,109,1,22,109,5
1989,NHL,EDM,22,16,6,0,93,60,288,0,21,99,2,14,98,4
1989,NHL,HAR,7,3,4,0,21,23,143,2,3,34,1,8,32,0
1989,NHL,LAK,10,4,6,0,39,48,164,2,11,65,3,7,49,2
1989,NHL,MNS,7,3,4,0,18,21,274,14,8,43,2,5,43,0
1989,NHL,MTL,11,5,6,0,29,29,235,4,2,51,2,9,56,0
1989,NHL,NJD,6,2,4,0,18,21,225,2,5,31,0,4,29,1
1989,NHL,NYI,5,1,4,0,13,22,175,0,4,26,2,10,31,0
1989,NHL,NYR,10,5,5,0,37,35,291,2,15,63,2,11,54,4
1989,NHL,STL,12,7,5,0,42,44,432,2,16,62,3,12,70,1
1989,NHL,TOR,5,1,4,0,16,20,257,0,4,28,1,8,28,1
1989,NHL,WAS,15,8,7,0,49,48,480,0,13,71,3,13,79,3
1989,NHL,WIN,7,3,4,0,22,24,110,0,7,36,2,6,33,0
1990,NHL,BOS,19,10,9,0,60,62,439,2,24,100,3,17,92,0
1990,NHL,BUF,6,2,4,0,24,29,221,0,6,36,1,9,37,2
1990,NHL,CAL,7,3,4,0,20,22,125,4,7,35,0,5,32,0
1990,NHL,CHI,6,2,4,0,16,23,278,4,6,31,0,15,54,0
1990,NHL,DET,7,3,4,0,20,24,272,2,4,33,0,3,39,1
1990,NHL,EDM,18,9,9,0,57,60,400,2,12,91,2,21,95,0
1990,NHL,HAR,6,2,4,0,17,24,192,0,6,23,0,10,36,1
1990,NHL,LAK,12,6,6,0,46,37,306,2,12,53,1,8,56,1
1990,NHL,MNS,23,14,9,0,81,75,674,4,35,152,3,24,136,4
1990,NHL,MTL,13,7,6,0,47,42,333,4,13,68,2,12,68,3
1990,NHL,NJD,7,3,4,0,21,21,211,2,8,33,0,7,38,1
1990,NHL,NYR,6,2,4,0,16,16,183,0,4,36,1,2,28,0
1990,NHL,PIT,24,16,8,0,95,68,571,12,26,137,4,25,120,3
1990,NHL,STL,13,6,7,0,41,42,421,0,10,80,1,14,67,0
1990,NHL,VAN,6,2,4,0,16,26,154,0,5,23,0,5,24,1
1990,NHL,WAS,11,5,6,0,29,35,328,2,8,50,0,9,59,1
1991,NHL,BOS,15,8,7,0,40,51,254,2,11,61,3,15,77,1
1991,NHL,BUF,7,3,4,0,24,19,80,0,10,40,0,6,28,2
1991,NHL,CHI,18,12,6,0,65,48,340,4,18,108,2,13,90,1
1991,NHL,DET,11,4,7,0,29,30,206,0,7,51,0,9,61,3
1991,NHL,EDM,16,8,8,0,49,54,340,0,14,78,0,17,90,1
1991,NHL,HAR,7,3,4,0,18,21,147,0,6,40,1,8,41,2
1991,NHL,LAK,6,2,4,0,18,23,153,2,6,35,0,10,34,0
1991,NHL,MNS,7,3,4,0,19,23,156,0,7,35,3,5,32,0
1991,NHL,MTL,11,4,7,0,29,32,208,0,9,59,2,10,57,1
1991,NHL,NJD,7,3,4,0,25,28,177,4,5,29,4,9,35,1
1991,NHL,NYR,13,6,7,0,47,49,277,2,13,58,1,11,62,5
1991,NHL,PIT,21,16,5,0,83,63,339,2,25,102,3,13,92,3
1991,NHL,STL,6,2,4,0,19,23,166,2,7,36,1,9,42,1
1991,NHL,VAN,13,6,7,0,44,35,243,0,10,70,1,11,63,1
1991,NHL,WAS,7,3,4,0,27,25,139,0,7,37,1,11,34,1
1991,NHL,WIN,7,3,4,0,17,29,167,4,7,38,1,5,39,0
1992,NHL,BOS,4,0,4,0,12,19,56,0,4,22,1,5,19,1
1992,NHL,BUF,8,4,4,0,31,28,116,0,10,39,2,10,36,1
1992,NHL,CAL,6,2,4,0,28,33,213,0,9,40,1,5,40,3
1992,NHL,CHI,4,0,4,0,6,13,74,2,1,24,1,7,25,0
1992,NHL,DET,7,3,4,0,30,24,163,2,10,30,0,4,34,4
1992,NHL,LAK,24,13,11,0,93,91,448,4,22,133,3,26,126,6
1992,NHL,MTL,20,16,4,0,66,51,277,0,15,82,1,13,86,1
1992,NHL,NJD,5,1,4,0,13,23,99,0,4,28,1,7,27,1
1992,NHL,NYI,18,9,9,0,58,65,313,2,8,85,2,15,76,5
1992,NHL,PIT,12,7,5,0,50,37,200,0,12,52,5,9,61,2
1992,NHL,QUE,6,2,4,0,16,19,94,2,4,18,0,4,21,0
1992,NHL,STL,11,7,4,0,24,28,185,0,10,51,0,9,57,1
1992,NHL,TOR,21,11,10,0,69,63,413,0,17,104,7,21,90,0
1992,NHL,VAN,12,6,6,0,46,43,188,2,12,56,2,12,56,0
1992,NHL,WAS,6,2,4,0,22,23,134,2,9,26,1,2,30,1
1992,NHL,WIN,6,2,4,0,17,21,85,0,6,23,0,4,29,1
1993,NHL,BOS,13,6,7,0,39,42,168,2,10,54,0,11,51,1
1993,NHL,BUF,7,3,4,0,14,14,157,0,4,38,0,6,32,0
1993,NHL,CAL,7,3,4,0,20,23,173,8,5,44,1,6,41,1
1993,NHL,CHI,6,2,4,0,10,15,121,2,4,29,1,9,32,0
1993,NHL,DAL,9,5,4,0,27,28,149,4,10,49,1,7,41,0
1993,NHL,DET,7,3,4,0,27,21,98,2,5,35,1,6,36,2
1993,NHL,MTL,7,3,4,0,20,22,106,0,6,28,1,7,31,0
1993,NHL,NJD,20,11,9,0,52,49,421,4,14,81,1,11,85,1
1993,NHL,NYI,4,0,4,0,3,22,83,0,1,17,0,8,27,0
1993,NHL,NYR,23,16,7,0,81,50,379,2,22,104,3,9,103,2
1993,NHL,PIT,6,2,4,0,12,20,140,2,2,27,2,3,30,0
1993,NHL,SJS,14,7,7,0,42,53,224,6,9,74,5,13,61,2
1993,NHL,STL,4,0,4,0,10,16,81,0,3,20,0,6,23,1
1993,NHL,TOR,18,9,9,0,50,47,375,0,22,74,1,13,86,4
1993,NHL,VAN,24,15,9,0,76,61,436,0,19,116,2,20,114,2
1993,NHL,WAS,11,5,6,0,32,32,256,0,5,55,0,6,52,3
1994,NHL,BOS,5,1,4,0,5,14,47,2,2,20,1,5,17,0
1994,NHL,BUF,5,1,4,0,13,18,80,0,3,26,1,3,26,1
1994,NHL,CAL,7,3,4,0,35,26,111,0,7,31,0,6,31,6
1994,NHL,CHI,16,9,7,0,45,39,203,0,9,68,1,11,75,1
1994,NHL,DAL,5,1,4,0,10,17,95,0,3,26,0,9,30,1
1994,NHL,DET,18,12,6,0,61,44,264,0,22,89,1,14,78,3
1994,NHL,NJD,20,16,4,0,67,34,227,2,18,72,2,10,74,1
1994,NHL,NYR,10,4,6,0,35,37,138,2,13,46,3,5,50,1
1994,NHL,PHI,15,10,5,0,50,43,186,2,9,70,1,15,66,3
1994,NHL,PIT,12,5,7,0,37,43,236,4,11,58,1,10,61,1
1994,NHL,QUE,6,2,4,0,19,25,89,2,2,25,1,7,29,2
1994,NHL,SJS,11,4,7,0,32,59,135,2,9,48,8,13,46,0
1994,NHL,STL,7,3,4,0,27,27,210,2,6,45,6,11,43,1
1994,NHL,TOR,7,3,4,0,20,22,89,0,7,36,1,2,27,0
1994,NHL,VAN,11,4,7,0,33,38,272,6,12,57,1,8,66,7
1994,NHL,WAS,7,3,4,0,26,29,213,4,6,44,1,10,42,1
1995,NHL,BOS,5,1,4,0,16,22,147,0,7,27,0,5,30,2
1995,NHL,CAL,4,0,4,0,7,16,56,0,0,21,0,4,21,0
1995,NHL,CHI,10,6,4,0,30,28,180,2,7,46,0,5,53,0
1995,NHL,COL,22,16,6,0,80,51,374,0,24,110,2,17,113,1
1995,NHL,DET,19,10,9,0,58,46,302,4,20,112,1,13,89,5
1995,NHL,FLO,22,12,10,0,61,57,401,6,14,109,2,20,103,1
1995,NHL,MTL,6,2,4,0,17,19,72,2,3,31,1,8,31,2
1995,NHL,NYR,11,5,6,0,34,38,136,2,12,55,3,8,57,1
1995,NHL,PHI,12,6,6,0,37,28,290,0,15,71,3,7,63,0
1995,NHL,PIT,18,11,7,0,57,52,351,2,16,100,0,14,96,2
1995,NHL,STL,13,7,6,0,37,37,214,2,11,69,2,15,75,4
1995,NHL,TBL,6,2,4,0,13,26,190,0,3,35,0,10,43,2
1995,NHL,TOR,6,2,4,0,15,21,112,0,8,32,4,5,34,1
1995,NHL,VAN,6,2,4,0,17,24,99,0,7,39,0,8,36,0
1995,NHL,WAS,6,2,4,0,17,21,194,2,7,38,1,7,42,0
1995,NHL,WIN,6,2,4,0,10,20,119,2,0,28,2,8,37,0
1996,NHL,ANA,11,4,7,0,25,30,163,2,10,39,0,6,45,0
1996,NHL,BUF,12,5,7,0,27,34,226,6,8,53,0,11,60,2
1996,NHL,CHI,6,2,4,0,14,28,160,0,1,27,0,12,45,2
1996,NHL,COL,17,10,7,0,59,41,380,6,21,95,4,7,86,0
1996,NHL,DAL,7,3,4,0,18,21,136,0,3,40,1,6,34,1
1996,NHL,DET,20,16,4,0,58,38,437,6,17,117,0,15,96,2
1996,NHL,EDM,12,5,7,0,32,37,204,0,8,55,1,10,61,3
1996,NHL,FLO,5,1,4,0,10,13,50,0,6,25,0,2,21,0
1996,NHL,MTL,5,1,4,0,11,22,105,0,0,16,3,9,28,2
1996,NHL,NJD,10,5,5,0,27,21,186,0,11,50,2,3,37,3
1996,NHL,NYR,15,9,6,0,36,35,218,2,10,64,1,14,68,1
1996,NHL,OTT,7,3,4,0,13,14,91,2,7,35,1,2,27,0
1996,NHL,PHI,19,12,7,0,67,55,245,4,18,94,5,19,89,3
1996,NHL,PHO,7,3,4,0,17,17,111,2,3,26,0,6,28,0
1996,NHL,PIT,5,1,4,0,13,20,68,0,4,23,2,4,29,2
1996,NHL,STL,6,2,4,0,12,13,198,0,5,37,1,6,42,0
1997,NHL,BOS,6,2,4,0,13,15,75,0,6,40,0,3,20,0
1997,NHL,BUF,15,10,5,0,46,32,268,2,16,89,1,9,90,2
1997,NHL,COL,7,3,4,0,16,19,209,0,5,35,0,7,46,1
1997,NHL,DAL,17,10,7,0,36,32,300,4,10,100,2,11,93,1
1997,NHL,DET,22,16,6,0,75,49,334,6,20,129,3,14,119,6
1997,NHL,EDM,12,5,7,0,24,25,245,4,8,72,1,7,67,0
1997,NHL,LAK,4,0,4,0,8,16,108,0,1,29,0,8,36,0
1997,NHL,MTL,10,4,6,0,28,32,148,0,6,50,3,9,58,0
1997,NHL,NJD,6,2,4,0,12,13,92,0,3,23,0,4,25,2
1997,NHL,OTT,11,5,6,0,20,30,135,2,8,51,4,7,39,1
1997,NHL,PHI,5,1,4,0,9,18,90,4,3,36,2,9,31,0
1997,NHL,PHO,6,2,4,0,18,24,127,0,6,33,0,7,42,2
1997,NHL,PIT,6,2,4,0,15,18,70,0,4,33,0,5,27,3
1997,NHL,SJS,6,2,4,0,12,16,152,0,6,36,1,7,38,0
1997,NHL,STL,10,6,4,0,29,31,185,4,13,75,3,7,69,1
1997,NHL,WAS,21,12,9,0,53,44,319,6,14,84,2,15,115,3
1998,NHL,ANA,4,0,4,0,6,17,80,0,4,20,0,7,23,0
1998,NHL,BOS,12,6,6,0,30,27,126,2,9,59,1,8,47,0
1998,NHL,BUF,21,14,7,0,59,49,349,4,19,95,0,17,118,4
1998,NHL,CAR,6,2,4,0,10,16,62,0,2,21,0,4,24,0
1998,NHL,COL,19,11,8,0,56,54,309,0,14,96,3,19,106,2
1998,NHL,DAL,23,16,7,0,64,44,279,2,13,107,0,9,95,3
1998,NHL,DET,10,6,4,0,31,27,137,0,14,59,1,9,50,0
1998,NHL,EDM,4,0,4,0,7,11,85,0,2,17,0,2,22,0
1998,NHL,NJD,7,3,4,0,18,21,86,2,5,27,0,4,26,1
1998,NHL,OTT,4,0,4,0,6,12,46,0,3,27,0,4,18,0
1998,NHL,PHI,6,2,4,0,11,9,82,0,3,27,0,5,34,0
1998,NHL,PHO,7,3,4,0,16,19,95,0,5,41,0,9,33,0
1998,NHL,PIT,13,6,7,0,35,36,183,2,8,45,1,6,50,0
1998,NHL,SJS,6,2,4,0,17,19,102,0,7,41,1,7,42,2
1998,NHL,STL,13,6,7,0,31,33,179,2,11,61,2,8,71,0
1998,NHL,TOR,17,9,8,0,43,46,252,0,12,87,3,13,71,0
1999,NHL,BUF,5,1,4,0,8,14,70,4,3,18,1,9,28,0
1999,NHL,COL,17,11,6,0,43,32,178,2,15,86,1,12,68,1
1999,NHL,DAL,23,14,9,0,52,46,291,4,15,93,5,12,102,2
1999,NHL,DET,9,5,4,0,23,19,132,0,10,43,0,5,49,1
1999,NHL,EDM,5,1,4,0,11,14,84,0,3,25,0,2,26,1
1999,NHL,FLO,4,0,4,0,6,12,54,0,1,14,1,2,16,0
1999,NHL,LAK,4,0,4,0,6,15,54,2,0,23,0,7,23,0
1999,NHL,NJD,23,16,7,0,61,39,192,6,12,70,1,5,67,4
1999,NHL,OTT,6,2,4,0,10,17,81,0,2,22,0,2,23,0
1999,NHL,PHI,18,11,7,0,44,40,257,2,15,69,0,8,58,1
1999,NHL,PHO,5,1,4,0,10,17,75,0,3,19,0,7,27,0
1999,NHL,PIT,11,6,5,0,31,23,173,4,8,56,1,7,45,0
1999,NHL,SJS,12,5,7,0,27,37,164,2,10,63,2,13,61,2
1999,NHL,STL,7,3,4,0,22,20,114,0,8,39,1,6,35,0
1999,NHL,TOR,12,6,6,0,26,26,154,0,2,43,1,7,47,1
1999,NHL,WAS,5,1,4,0,8,17,83,0,3,21,0,6,29,1
2000,NHL,BUF,13,7,6,0,38,30,138,2,10,51,1,8,44,2
2000,NHL,CAR,6,2,4,0,8,20,115,0,3,29,1,2,24,0
2000,NHL,COL,23,16,7,0,69,41,256,6,23,116,2,13,92,0
2000,NHL,DAL,10,4,6,0,22,26,116,2,5,43,1,6,47,0
2000,NHL,DET,6,2,4,0,17,15,57,0,9,27,0,3,20,0
2000,NHL,EDM,6,2,4,0,13,16,83,0,5,31,0,4,26,0
2000,NHL,LAK,13,7,6,0,25,34,146,4,6,50,0,14,63,0
2000,NHL,NJD,25,15,10,0,69,52,334,2,16,101,2,17,104,3
2000,NHL,OTT,4,0,4,0,3,10,48,0,0,16,0,3,13,0
2000,NHL,PHI,6,2,4,0,13,21,74,0,4,17,0,6,18,1
2000,NHL,PIT,18,9,9,0,38,44,214,2,11,61,3,16,73,1
2000,NHL,SJS,6,2,4,0,11,16,88,0,0,22,1,5,27,1
2000,NHL,STL,15,9,6,0,40,34,183,0,9,62,1,8,64,3
2000,NHL,TOR,11,7,4,0,28,24,146,2,9,39,0,6,48,1
2000,NHL,VAN,4,0,4,0,9,16,50,0,4,16,0,5,19,0
2000,NHL,WAS,6,2,4,0,10,14,91,0,7,22,0,5,21,0
2001,NHL,BOS,6,2,4,0,18,20,106,0,5,20,0,6,27,2
2001,NHL,CAR,23,13,10,0,47,43,263,4,16,103,2,15,96,1
2001,NHL,CHI,5,1,4,0,5,13,73,2,1,17,1,5,20,0
2001,NHL,COL,21,11,10,0,54,56,168,6,10,77,2,9,62,0
2001,NHL,DET,23,16,7,0,72,47,308,8,19,99,2,14,104,7
2001,NHL,LAK,7,3,4,0,13,16,72,2,1,17,0,2,26,0
2001,NHL,MTL,12,6,6,0,32,39,172,2,9,48,2,11,48,0
