year,lgID,tmID,oppID,W,L,T,OTL
1972,NHL,ATF,STL,0,3,3,
1972,NHL,ATF,TOR,2,1,2,
1972,NHL,ATF,VAN,4,1,0,
1972,NHL,BOS,ATF,5,0,0,
1972,NHL,BOS,BUF,4,1,1,
1972,NHL,BOS,CHI,2,3,0,
1972,NHL,BOS,CLF,4,0,1,
1972,NHL,BOS,DET,3,2,0,
1972,NHL,BOS,LAK,3,2,0,
1972,NHL,BOS,MNS,3,1,1,
1972,NHL,BOS,MTL,1,3,1,
1972,NHL,BOS,NYI,5,1,0,
1972,NHL,BOS,NYR,3,3,0,
1972,NHL,BOS,PHI,4,0,1,
1972,NHL,BOS,PIT,4,1,0,
1972,NHL,BOS,STL,2,3,0,
1972,NHL,BOS,TOR,4,1,0,
1972,NHL,BOS,VAN,4,1,0,
1972,NHL,BUF,ATF,2,1,2,
1972,NHL,BUF,BOS,1,4,1,
1972,NHL,BUF,CHI,2,3,0,
1972,NHL,BUF,CLF,1,2,2,
1972,NHL,BUF,DET,1,4,0,
1972,NHL,BUF,LAK,2,1,2,
1972,NHL,BUF,MNS,3,2,0,
1972,NHL,BUF,MTL,1,2,2,
1972,NHL,BUF,NYI,5,0,1,
1972,NHL,BUF,NYR,5,1,0,
1972,NHL,BUF,PHI,2,3,0,
1972,NHL,BUF,PIT,3,0,2,
1972,NHL,BUF,STL,2,1,2,
1972,NHL,BUF,TOR,4,1,0,
1972,NHL,BUF,VAN,3,2,0,
1972,NHL,CHI,ATF,4,2,0,
1972,NHL,CHI,BOS,3,2,0,
1972,NHL,CHI,BUF,3,2,0,
1972,NHL,CHI,CLF,3,0,2,
1972,NHL,CHI,DET,3,2,0,
1972,NHL,CHI,LAK,2,3,0,
1972,NHL,CHI,MNS,3,2,1,
1972,NHL,CHI,MTL,3,2,0,
1972,NHL,CHI,NYI,4,0,1,
1972,NHL,CHI,NYR,2,2,1,
1972,NHL,CHI,PHI,2,2,1,
1972,NHL,CHI,PIT,2,3,0,
1972,NHL,CHI,STL,3,3,0,
1972,NHL,CHI,TOR,2,1,2,
1972,NHL,CHI,VAN,3,1,1,
1972,NHL,CLF,ATF,1,3,1,
1972,NHL,CLF,BOS,0,4,1,
1972,NHL,CLF,BUF,2,1,2,
1972,NHL,CLF,CHI,0,3,2,
1972,NHL,CLF,DET,2,2,1,
1972,NHL,CLF,LAK,2,4,0,
1972,NHL,CLF,MNS,1,4,0,
1972,NHL,CLF,MTL,0,3,2,
1972,NHL,CLF,NYI,1,4,0,
1972,NHL,CLF,NYR,1,3,1,
1972,NHL,CLF,PHI,1,3,2,
1972,NHL,CLF,PIT,2,2,2,
1972,NHL,CLF,STL,1,3,1,
1972,NHL,CLF,TOR,1,3,1,
1972,NHL,CLF,VAN,1,4,0,
1972,NHL,DET,ATF,3,2,0,
1972,NHL,DET,BOS,2,3,0,
1972,NHL,DET,BUF,4,1,0,
1972,NHL,DET,CHI,2,3,0,
1972,NHL,DET,CLF,2,2,1,
1972,NHL,DET,LAK,2,2,1,
1972,NHL,DET,MNS,1,3,1,
1972,NHL,DET,MTL,2,3,1,
1972,NHL,DET,NYI,4,1,0,
1972,NHL,DET,NYR,1,3,1,
1972,NHL,DET,PHI,3,1,1,
1972,NHL,DET,PIT,2,0,3,
1972,NHL,DET,STL,2,3,0,
1972,NHL,DET,TOR,4,2,0,
1972,NHL,DET,VAN,3,0,3,
1972,NHL,LAK,ATF,1,1,3,
1972,NHL,LAK,BOS,2,3,0,
1972,NHL,LAK,BUF,1,2,2,
1972,NHL,LAK,CHI,3,2,0,
1972,NHL,LAK,CLF,4,2,0,
1972,NHL,LAK,DET,2,2,1,
1972,NHL,LAK,MNS,0,3,2,
1972,NHL,LAK,MTL,0,4,1,
1972,NHL,LAK,NYI,4,1,0,
1972,NHL,LAK,NYR,0,3,2,
1972,NHL,LAK,PHI,4,2,0,
1972,NHL,LAK,PIT,2,4,0,
1972,NHL,LAK,STL,3,2,0,
1972,NHL,LAK,TOR,2,3,0,
1972,NHL,LAK,VAN,3,2,0,
1972,NHL,MNS,ATF,3,3,0,
1972,NHL,MNS,BOS,1,3,1,
1972,NHL,MNS,BUF,2,3,0,
1972,NHL,MNS,CHI,2,3,1,
1972,NHL,MNS,CLF,4,1,0,
1972,NHL,MNS,DET,3,1,1,
1972,NHL,MNS,LAK,3,0,2,
1972,NHL,MNS,MTL,1,3,1,
1972,NHL,MNS,NYI,4,1,0,
1972,NHL,MNS,NYR,2,3,0,
1972,NHL,MNS,PHI,2,3,0,
1972,NHL,MNS,PIT,3,2,0,
1972,NHL,MNS,STL,2,2,2,
1972,NHL,MNS,TOR,2,2,1,
1972,NHL,MNS,VAN,3,0,2,
1972,NHL,MTL,ATF,3,0,2,
1972,NHL,MTL,BOS,3,1,1,
1972,NHL,MTL,BUF,2,1,2,
1972,NHL,MTL,CHI,2,3,0,
1972,NHL,MTL,CLF,3,0,2,
1972,NHL,MTL,DET,3,2,1,
1972,NHL,MTL,LAK,4,0,1,
1972,NHL,MTL,MNS,3,1,1,
1972,NHL,MTL,NYI,5,0,0,
1972,NHL,MTL,NYR,3,0,2,
1972,NHL,MTL,PHI,2,2,1,
1972,NHL,MTL,PIT,5,0,0,
1972,NHL,MTL,STL,3,0,2,
1972,NHL,MTL,TOR,5,0,1,
1972,NHL,MTL,VAN,6,0,0,
1972,NHL,NYI,ATF,0,4,1,
1972,NHL,NYI,BOS,1,5,0,
1972,NHL,NYI,BUF,0,5,1,
1972,NHL,NYI,CHI,0,4,1,
1972,NHL,NYI,CLF,4,1,0,
1972,NHL,NYI,DET,1,4,0,
1972,NHL,NYI,LAK,1,4,0,
1972,NHL,NYI,MNS,1,4,0,
1972,NHL,NYI,MTL,0,5,0,
1972,NHL,NYI,NYR,0,6,0,
1972,NHL,NYI,PHI,1,4,0,
1972,NHL,NYI,PIT,0,4,1,
1972,NHL,NYI,STL,1,3,1,
1972,NHL,NYI,TOR,1,4,0,
1972,NHL,NYI,VAN,1,3,1,
1972,NHL,NYR,ATF,4,1,0,
1972,NHL,NYR,BOS,3,3,0,
1972,NHL,NYR,BUF,1,5,0,
1972,NHL,NYR,CHI,2,2,1,
1972,NHL,NYR,CLF,3,1,1,
1972,NHL,NYR,DET,3,1,1,
1972,NHL,NYR,LAK,3,0,2,
1972,NHL,NYR,MNS,3,2,0,
1972,NHL,NYR,MTL,0,3,2,
1972,NHL,NYR,NYI,6,0,0,
1972,NHL,NYR,PHI,4,0,1,
1972,NHL,NYR,PIT,3,2,0,
1972,NHL,NYR,STL,5,0,0,
1972,NHL,NYR,TOR,4,1,0,
1972,NHL,NYR,VAN,3,2,0,
1972,NHL,PHI,ATF,3,1,1,
1972,NHL,PHI,BOS,0,4,1,
1972,NHL,PHI,BUF,3,2,0,
1972,NHL,PHI,CHI,2,2,1,
1972,NHL,PHI,CLF,3,1,2,
1972,NHL,PHI,DET,1,3,1,
1972,NHL,PHI,LAK,2,4,0,
1972,NHL,PHI,MNS,3,2,0,
1972,NHL,PHI,MTL,2,2,1,
1972,NHL,PHI,NYI,4,1,0,
1972,NHL,PHI,NYR,0,4,1,
1972,NHL,PHI,PIT,4,2,0,
1972,NHL,PHI,STL,3,1,1,
1972,NHL,PHI,TOR,3,1,1,
1972,NHL,PHI,VAN,4,0,1,
1972,NHL,PIT,ATF,4,1,0,
1972,NHL,PIT,BOS,1,4,0,
1972,NHL,PIT,BUF,0,3,2,
1972,NHL,PIT,CHI,3,2,0,
1972,NHL,PIT,CLF,2,2,2,
1972,NHL,PIT,DET,0,2,3,
1972,NHL,PIT,LAK,4,2,0,
1972,NHL,PIT,MNS,2,3,0,
1972,NHL,PIT,MTL,0,5,0,
1972,NHL,PIT,NYI,4,0,1,
1972,NHL,PIT,NYR,2,3,0,
1972,NHL,PIT,PHI,2,4,0,
1972,NHL,PIT,STL,3,2,0,
1972,NHL,PIT,TOR,2,2,1,
1972,NHL,PIT,VAN,3,2,0,
1972,NHL,STL,ATF,3,0,3,
1972,NHL,STL,BOS,3,2,0,
1972,NHL,STL,BUF,1,2,2,
1972,NHL,STL,CHI,3,3,0,
1972,NHL,STL,CLF,3,1,1,
1972,NHL,STL,DET,3,2,0,
1972,NHL,STL,LAK,2,3,0,
1972,NHL,STL,MNS,2,2,2,
1972,NHL,STL,MTL,0,3,2,
1972,NHL,STL,NYI,3,1,1,
1972,NHL,STL,NYR,0,5,0,
1972,NHL,STL,PHI,1,3,1,
1972,NHL,STL,PIT,2,3,0,
1972,NHL,STL,TOR,2,3,0,
1972,NHL,STL,VAN,4,1,0,
1972,NHL,TOR,ATF,1,2,2,
1972,NHL,TOR,BOS,1,4,0,
1972,NHL,TOR,BUF,1,4,0,
1972,NHL,TOR,CHI,1,2,2,
1972,NHL,TOR,CLF,3,1,1,
1972,NHL,TOR,DET,2,4,0,
1972,NHL,TOR,LAK,3,2,0,
1972,NHL,TOR,MNS,2,2,1,
1972,NHL,TOR,MTL,0,5,1,
1972,NHL,TOR,NYI,4,1,0,
1972,NHL,TOR,NYR,1,4,0,
1972,NHL,TOR,PHI,1,3,1,
1972,NHL,TOR,PIT,2,2,1,
1972,NHL,TOR,STL,3,2,0,
1972,NHL,TOR,VAN,2,3,1,
1972,NHL,VAN,ATF,1,4,0,
1972,NHL,VAN,BOS,1,4,0,
1972,NHL,VAN,BUF,2,3,0,
1972,NHL,VAN,CHI,1,3,1,
1972,NHL,VAN,CLF,4,1,0,
1972,NHL,VAN,DET,0,3,3,
1972,NHL,VAN,LAK,2,3,0,
1972,NHL,VAN,MNS,0,3,2,
1972,NHL,VAN,MTL,0,6,0,
1972,NHL,VAN,NYI,3,1,1,
1972,NHL,VAN,NYR,2,3,0,
1972,NHL,VAN,PHI,0,4,1,
1972,NHL,VAN,PIT,2,3,0,
1972,NHL,VAN,STL,1,4,0,
1972,NHL,VAN,TOR,3,2,1,
1972,WHA,ALB,CHC,4,3,1,
1972,WHA,ALB,CLC,2,4,0,
1972,WHA,ALB,HOU,3,5,0,
1972,WHA,ALB,LAS,5,3,0,
1972,WHA,ALB,MFS,4,4,0,
1972,WHA,ALB,NEW,3,3,0,
1972,WHA,ALB,NRA,3,3,0,
1972,WHA,ALB,OTN,3,3,0,
1972,WHA,ALB,PHB,3,3,0,
1972,WHA,ALB,QUN,3,3,0,
1972,WHA,ALB,WIJ,5,3,2,
1972,WHA,CHC,ALB,3,4,1,
1972,WHA,CHC,CLC,2,4,0,
1972,WHA,CHC,HOU,1,7,0,
1972,WHA,CHC,LAS,2,6,0,
1972,WHA,CHC,MFS,4,6,0,
1972,WHA,CHC,NEW,1,5,0,
1972,WHA,CHC,NRA,3,2,1,
1972,WHA,CHC,OTN,2,4,0,
1972,WHA,CHC,PHB,3,3,0,
1972,WHA,CHC,QUN,3,3,0,
1972,WHA,CHC,WIJ,2,6,0,
1972,WHA,CLC,ALB,4,2,0,
1972,WHA,CLC,CHC,4,2,0,
1972,WHA,CLC,HOU,3,3,0,
1972,WHA,CLC,LAS,3,2,1,
1972,WHA,CLC,MFS,2,4,0,
1972,WHA,CLC,NEW,3,5,0,
1972,WHA,CLC,NRA,6,2,0,
1972,WHA,CLC,OTN,4,3,1,
1972,WHA,CLC,PHB,6,4,0,
1972,WHA,CLC,QUN,5,2,1,
1972,WHA,CLC,WIJ,3,3,0,
1972,WHA,HOU,ALB,5,3,0,
1972,WHA,HOU,CHC,7,1,0,
1972,WHA,HOU,CLC,3,3,0,
1972,WHA,HOU,LAS,3,6,1,
1972,WHA,HOU,MFS,5,2,1,
1972,WHA,HOU,NEW,3,2,1,
1972,WHA,HOU,NRA,2,4,0,
1972,WHA,HOU,OTN,4,1,1,
1972,WHA,HOU,PHB,4,2,0,
1972,WHA,HOU,QUN,1,5,0,
1972,WHA,HOU,WIJ,2,6,0,
1972,WHA,LAS,ALB,3,5,0,
1972,WHA,LAS,CHC,6,2,0,
1972,WHA,LAS,CLC,2,3,1,
1972,WHA,LAS,HOU,6,3,1,
1972,WHA,LAS,MFS,5,2,1,
1972,WHA,LAS,NEW,3,3,0,
1972,WHA,LAS,NRA,5,1,0,
1972,WHA,LAS,OTN,2,2,2,
1972,WHA,LAS,PHB,2,4,0,
1972,WHA,LAS,QUN,3,2,1,
1972,WHA,LAS,WIJ,0,8,0,
1972,WHA,MFS,ALB,4,4,0,
1972,WHA,MFS,CHC,6,4,0,
1972,WHA,MFS,CLC,4,2,0,
1972,WHA,MFS,HOU,2,5,1,
1972,WHA,MFS,LAS,2,5,1,
1972,WHA,MFS,NEW,3,3,0,
1972,WHA,MFS,NRA,4,2,0,
1972,WHA,MFS,OTN,3,3,0,
1972,WHA,MFS,PHB,4,2,0,
1972,WHA,MFS,QUN,3,3,0,
1972,WHA,MFS,WIJ,3,4,1,
1972,WHA,NEW,ALB,3,3,0,
1972,WHA,NEW,CHC,5,1,0,
1972,WHA,NEW,CLC,5,3,0,
1972,WHA,NEW,HOU,2,3,1,
1972,WHA,NEW,LAS,3,3,0,
1972,WHA,NEW,MFS,3,3,0,
1972,WHA,NEW,NRA,7,3,0,
1972,WHA,NEW,OTN,5,3,0,
1972,WHA,NEW,PHB,4,4,0,
1972,WHA,NEW,QUN,4,3,1,
1972,WHA,NEW,WIJ,5,1,0,
1972,WHA,NRA,ALB,3,3,0,
1972,WHA,NRA,CHC,2,3,1,
1972,WHA,NRA,CLC,2,6,0,
1972,WHA,NRA,HOU,4,2,0,
1972,WHA,NRA,LAS,1,5,0,
1972,WHA,NRA,MFS,2,4,0,
1972,WHA,NRA,NEW,3,7,0,
1972,WHA,NRA,OTN,6,2,0,
1972,WHA,NRA,PHB,4,4,0,
1972,WHA,NRA,QUN,4,3,1,
1972,WHA,NRA,WIJ,2,4,0,
1972,WHA,OTN,ALB,3,3,0,
1972,WHA,OTN,CHC,4,2,0,
1972,WHA,OTN,CLC,3,4,1,
1972,WHA,OTN,HOU,1,4,1,
1972,WHA,OTN,LAS,2,2,2,
1972,WHA,OTN,MFS,3,3,0,
1972,WHA,OTN,NEW,3,5,0,
1972,WHA,OTN,NRA,2,6,0,
1972,WHA,OTN,PHB,3,5,0,
1972,WHA,OTN,QUN,7,3,0,
1972,WHA,OTN,WIJ,4,2,0,
1972,WHA,PHB,ALB,3,3,0,
1972,WHA,PHB,CHC,3,3,0,
1972,WHA,PHB,CLC,4,6,0,
1972,WHA,PHB,HOU,2,4,0,
1972,WHA,PHB,LAS,4,2,0,
1972,WHA,PHB,MFS,2,4,0,
1972,WHA,PHB,NEW,4,4,0,
1972,WHA,PHB,NRA,4,4,0,
1972,WHA,PHB,OTN,5,3,0,
1972,WHA,PHB,QUN,4,4,0,
1972,WHA,PHB,WIJ,3,3,0,
1972,WHA,QUN,ALB,3,3,0,
1972,WHA,QUN,CHC,3,3,0,
1972,WHA,QUN,CLC,2,5,1,
1972,WHA,QUN,HOU,5,1,0,
1972,WHA,QUN,LAS,2,3,1,
1972,WHA,QUN,MFS,3,3,0,
1972,WHA,QUN,NEW,3,4,1,
1972,WHA,QUN,NRA,3,4,1,
1972,WHA,QUN,OTN,3,7,0,
1972,WHA,QUN,PHB,4,4,0,
1972,WHA,QUN,WIJ,2,3,1,
1972,WHA,WIJ,ALB,3,5,2,
1972,WHA,WIJ,CHC,6,2,0,
1972,WHA,WIJ,CLC,3,3,0,
1972,WHA,WIJ,HOU,6,2,0,
1972,WHA,WIJ,LAS,8,0,0,
1972,WHA,WIJ,MFS,4,3,1,
1972,WHA,WIJ,NEW,1,5,0,
1972,WHA,WIJ,NRA,4,2,0,
1972,WHA,WIJ,OTN,2,4,0,
1972,WHA,WIJ,PHB,3,3,0,
1972,WHA,WIJ,QUN,3,2,1,
1973,NHL,ATF,BOS,3,2,0,
1973,NHL,ATF,BUF,3,1,1,
1973,NHL,ATF,CHI,1,2,2,
1973,NHL,ATF,CLF,4,0,1,
1973,NHL,ATF,DET,3,1,1,
1973,NHL,ATF,LAK,1,5,0,
1973,NHL,ATF,MNS,3,2,0,
1973,NHL,ATF,MTL,3,2,0,
1973,NHL,ATF,NYI,1,3,1,
1973,NHL,ATF,NYR,1,2,2,
1973,NHL,ATF,PHI,2,2,2,
1973,NHL,ATF,PIT,1,3,2,
1973,NHL,ATF,STL,1,3,1,
1973,NHL,ATF,TOR,0,4,1,
1973,NHL,ATF,VAN,3,2,0,
1973,NHL,BOS,ATF,2,3,0,
1973,NHL,BOS,BUF,4,1,0,
1973,NHL,BOS,CHI,0,2,3,
1973,NHL,BOS,CLF,4,1,0,
1973,NHL,BOS,DET,4,1,1,
1973,NHL,BOS,LAK,3,1,1,
1973,NHL,BOS,MNS,3,0,2,
1973,NHL,BOS,MTL,4,2,0,
1973,NHL,BOS,NYI,4,1,0,
1973,NHL,BOS,NYR,4,1,0,
1973,NHL,BOS,PHI,3,1,1,
1973,NHL,BOS,PIT,5,0,0,
1973,NHL,BOS,STL,4,1,0,
1973,NHL,BOS,TOR,4,2,0,
1973,NHL,BOS,VAN,4,0,1,
1973,NHL,BUF,ATF,1,3,1,
1973,NHL,BUF,BOS,1,4,0,
1973,NHL,BUF,CHI,2,0,3,
1973,NHL,BUF,CLF,3,2,0,
1973,NHL,BUF,DET,5,1,0,
1973,NHL,BUF,LAK,4,1,0,
1973,NHL,BUF,MNS,3,1,1,
1973,NHL,BUF,MTL,0,3,2,
1973,NHL,BUF,NYI,3,0,2,
1973,NHL,BUF,NYR,2,2,1,
1973,NHL,BUF,PHI,0,5,0,
1973,NHL,BUF,PIT,2,3,0,
1973,NHL,BUF,STL,2,2,1,
1973,NHL,BUF,TOR,2,3,1,
1973,NHL,BUF,VAN,2,4,0,
1973,NHL,CHI,ATF,2,1,2,
1973,NHL,CHI,BOS,2,0,3,
1973,NHL,CHI,BUF,0,2,3,
1973,NHL,CHI,CLF,3,1,2,
1973,NHL,CHI,DET,4,0,1,
1973,NHL,CHI,LAK,3,1,2,
1973,NHL,CHI,MNS,3,1,1,
1973,NHL,CHI,MTL,2,2,1,
1973,NHL,CHI,NYI,2,1,2,
1973,NHL,CHI,NYR,3,1,1,
1973,NHL,CHI,PHI,2,2,1,
1973,NHL,CHI,PIT,5,1,0,
1973,NHL,CHI,STL,3,0,2,
1973,NHL,CHI,TOR,3,1,1,
1973,NHL,CHI,VAN,4,0,1,
1973,NHL,CLF,ATF,0,4,1,
1973,NHL,CLF,BOS,1,4,0,
1973,NHL,CLF,BUF,2,3,0,
1973,NHL,CLF,CHI,1,3,2,
1973,NHL,CLF,DET,1,4,0,
1973,NHL,CLF,LAK,1,4,0,
1973,NHL,CLF,MNS,1,3,2,
1973,NHL,CLF,MTL,1,3,1,
1973,NHL,CLF,NYI,1,2,2,
1973,NHL,CLF,NYR,0,5,0,
1973,NHL,CLF,PHI,0,5,0,
1973,NHL,CLF,PIT,1,4,0,
1973,NHL,CLF,STL,2,3,1,
1973,NHL,CLF,TOR,0,4,1,
1973,NHL,CLF,VAN,1,4,0,
1973,NHL,DET,ATF,1,3,1,
1973,NHL,DET,BOS,1,4,1,
1973,NHL,DET,BUF,1,5,0,
1973,NHL,DET,CHI,0,4,1,
1973,NHL,DET,CLF,4,1,0,
1973,NHL,DET,LAK,3,1,1,
1973,NHL,DET,MNS,2,1,2,
1973,NHL,DET,MTL,2,3,0,
1973,NHL,DET,NYI,4,1,0,
1973,NHL,DET,NYR,2,3,1,
1973,NHL,DET,PHI,0,5,0,
1973,NHL,DET,PIT,2,2,1,
1973,NHL,DET,STL,3,1,1,
1973,NHL,DET,TOR,2,2,1,
1973,NHL,DET,VAN,2,3,0,
1973,NHL,LAK,ATF,5,1,0,
1973,NHL,LAK,BOS,1,3,1,
1973,NHL,LAK,BUF,1,4,0,
1973,NHL,LAK,CHI,1,3,2,
1973,NHL,LAK,CLF,4,1,0,
1973,NHL,LAK,DET,1,3,1,
1973,NHL,LAK,MNS,2,3,1,
1973,NHL,LAK,MTL,1,3,1,
1973,NHL,LAK,NYI,3,1,1,
1973,NHL,LAK,NYR,1,2,2,
1973,NHL,LAK,PHI,2,2,1,
1973,NHL,LAK,PIT,4,1,0,
1973,NHL,LAK,STL,3,2,0,
1973,NHL,LAK,TOR,1,2,2,
1973,NHL,LAK,VAN,3,2,0,
1973,NHL,MNS,ATF,2,3,0,
1973,NHL,MNS,BOS,0,3,2,
1973,NHL,MNS,BUF,1,3,1,
1973,NHL,MNS,CHI,1,3,1,
1973,NHL,MNS,CLF,3,1,2,
1973,NHL,MNS,DET,1,2,2,
1973,NHL,MNS,LAK,3,2,1,
1973,NHL,MNS,MTL,1,4,0,
1973,NHL,MNS,NYI,1,3,1,
1973,NHL,MNS,NYR,0,4,1,
1973,NHL,MNS,PHI,0,4,2,
1973,NHL,MNS,PIT,2,2,1,
1973,NHL,MNS,STL,3,1,1,
1973,NHL,MNS,TOR,1,3,1,
1973,NHL,MNS,VAN,4,0,1,
1973,NHL,MTL,ATF,2,3,0,
1973,NHL,MTL,BOS,2,4,0,
1973,NHL,MTL,BUF,3,0,2,
1973,NHL,MTL,CHI,2,2,1,
1973,NHL,MTL,CLF,3,1,1,
1973,NHL,MTL,DET,3,2,0,
1973,NHL,MTL,LAK,3,1,1,
1973,NHL,MTL,MNS,4,1,0,
1973,NHL,MTL,NYI,4,1,1,
1973,NHL,MTL,NYR,4,2,0,
1973,NHL,MTL,PHI,2,2,1,
1973,NHL,MTL,PIT,4,0,1,
1973,NHL,MTL,STL,3,2,0,
1973,NHL,MTL,TOR,2,3,0,
1973,NHL,MTL,VAN,4,0,1,
1973,NHL,NYI,ATF,3,1,1,
1973,NHL,NYI,BOS,1,4,0,
1973,NHL,NYI,BUF,0,3,2,
1973,NHL,NYI,CHI,1,2,2,
1973,NHL,NYI,CLF,2,1,2,
1973,NHL,NYI,DET,1,4,0,
1973,NHL,NYI,LAK,1,3,1,
1973,NHL,NYI,MNS,3,1,1,
1973,NHL,NYI,MTL,1,4,1,
1973,NHL,NYI,NYR,1,4,0,
1973,NHL,NYI,PHI,0,5,0,
1973,NHL,NYI,PIT,1,2,2,
1973,NHL,NYI,STL,2,2,1,
1973,NHL,NYI,TOR,0,4,2,
1973,NHL,NYI,VAN,2,1,3,
1973,NHL,NYR,ATF,2,1,2,
1973,NHL,NYR,BOS,1,4,0,
1973,NHL,NYR,BUF,2,2,1,
1973,NHL,NYR,CHI,1,3,1,
1973,NHL,NYR,CLF,5,0,0,
1973,NHL,NYR,DET,3,2,1,
1973,NHL,NYR,LAK,2,1,2,
1973,NHL,NYR,MNS,4,0,1,
1973,NHL,NYR,MTL,2,4,0,
1973,NHL,NYR,NYI,4,1,0,
1973,NHL,NYR,PHI,2,1,2,
1973,NHL,NYR,PIT,4,1,0,
1973,NHL,NYR,STL,3,1,1,
1973,NHL,NYR,TOR,1,2,2,
1973,NHL,NYR,VAN,4,1,1,
1973,NHL,PHI,ATF,2,2,2,
1973,NHL,PHI,BOS,1,3,1,
1973,NHL,PHI,BUF,5,0,0,
1973,NHL,PHI,CHI,2,2,1,
1973,NHL,PHI,CLF,5,0,0,
1973,NHL,PHI,DET,5,0,0,
1973,NHL,PHI,LAK,2,2,1,
1973,NHL,PHI,MNS,4,0,2,
1973,NHL,PHI,MTL,2,2,1,
1973,NHL,PHI,NYI,5,0,0,
1973,NHL,PHI,NYR,1,2,2,
1973,NHL,PHI,PIT,3,2,0,
1973,NHL,PHI,STL,6,0,0,
1973,NHL,PHI,TOR,4,0,1,
1973,NHL,PHI,VAN,3,1,1,
1973,NHL,PIT,ATF,3,1,2,
1973,NHL,PIT,BOS,0,5,0,
1973,NHL,PIT,BUF,3,2,0,
1973,NHL,PIT,CHI,1,5,0,
1973,NHL,PIT,CLF,4,1,0,
1973,NHL,PIT,DET,2,2,1,
1973,NHL,PIT,LAK,1,4,0,
1973,NHL,PIT,MNS,2,2,1,
1973,NHL,PIT,MTL,0,4,1,
1973,NHL,PIT,NYI,2,1,2,
1973,NHL,PIT,NYR,1,4,0,
1973,NHL,PIT,PHI,2,3,0,
1973,NHL,PIT,STL,2,3,1,
1973,NHL,PIT,TOR,1,3,1,
1973,NHL,PIT,VAN,4,1,0,
1973,NHL,STL,ATF,3,1,1,
1973,NHL,STL,BOS,1,4,0,
1973,NHL,STL,BUF,2,2,1,
1973,NHL,STL,CHI,0,3,2,
1973,NHL,STL,CLF,3,2,1,
1973,NHL,STL,DET,1,3,1,
1973,NHL,STL,LAK,2,3,0,
1973,NHL,STL,MNS,1,3,1,
1973,NHL,STL,MTL,2,3,0,
1973,NHL,STL,NYI,2,2,1,
1973,NHL,STL,NYR,1,3,1,
1973,NHL,STL,PHI,0,6,0,
1973,NHL,STL,PIT,3,2,1,
1973,NHL,STL,TOR,2,2,1,
1973,NHL,STL,VAN,3,1,1,
1973,NHL,TOR,ATF,4,0,1,
1973,NHL,TOR,BOS,2,4,0,
1973,NHL,TOR,BUF,3,2,1,
1973,NHL,TOR,CHI,1,3,1,
1973,NHL,TOR,CLF,4,0,1,
1973,NHL,TOR,DET,2,2,1,
1973,NHL,TOR,LAK,2,1,2,
1973,NHL,TOR,MNS,3,1,1,
1973,NHL,TOR,MTL,3,2,0,
1973,NHL,TOR,NYI,4,0,2,
1973,NHL,TOR,NYR,2,1,2,
1973,NHL,TOR,PHI,0,4,1,
1973,NHL,TOR,PIT,3,1,1,
1973,NHL,TOR,STL,2,2,1,
1973,NHL,TOR,VAN,0,4,1,
1973,NHL,VAN,ATF,2,3,0,
1973,NHL,VAN,BOS,0,4,1,
1973,NHL,VAN,BUF,4,2,0,
1973,NHL,VAN,CHI,0,4,1,
1973,NHL,VAN,CLF,4,1,0,
1973,NHL,VAN,DET,3,2,0,
1973,NHL,VAN,LAK,2,3,0,
1973,NHL,VAN,MNS,0,4,1,
1973,NHL,VAN,MTL,0,4,1,
1973,NHL,VAN,NYI,1,2,3,
1973,NHL,VAN,NYR,1,4,1,
1973,NHL,VAN,PHI,1,3,1,
1973,NHL,VAN,PIT,1,4,0,
1973,NHL,VAN,STL,1,3,1,
1973,NHL,VAN,TOR,4,0,1,
1973,WHA,CHC,CLC,2,4,2,
1973,WHA,CHC,EDO,2,4,0,
1973,WHA,CHC,HOU,2,4,0,
1973,WHA,CHC,LAS,5,1,0,
1973,WHA,CHC,MFS,2,4,0,
1973,WHA,CHC,NEW,4,4,0,
1973,WHA,CHC,NYJ,4,4,0,
1973,WHA,CHC,QUN,5,3,0,
1973,WHA,CHC,TOT,5,2,1,
1973,WHA,CHC,VAB,4,1,1,
1973,WHA,CHC,WIJ,3,4,1,
1973,WHA,CLC,CHC,4,2,2,
1973,WHA,CLC,EDO,3,2,1,
1973,WHA,CLC,HOU,2,2,2,
1973,WHA,CLC,LAS,5,1,0,
1973,WHA,CLC,MFS,3,4,1,
1973,WHA,CLC,NEW,3,5,0,
1973,WHA,CLC,NYJ,2,4,2,
1973,WHA,CLC,QUN,3,4,1,
1973,WHA,CLC,TOT,5,3,0,
1973,WHA,CLC,VAB,3,3,0,
1973,WHA,CLC,WIJ,4,2,0,
1973,WHA,EDO,CHC,4,2,0,
1973,WHA,EDO,CLC,2,3,1,
1973,WHA,EDO,HOU,3,5,0,
1973,WHA,EDO,LAS,4,4,0,
1973,WHA,EDO,MFS,5,3,0,
1973,WHA,EDO,NEW,2,3,1,
1973,WHA,EDO,NYJ,5,1,0,
1973,WHA,EDO,QUN,2,3,1,
1973,WHA,EDO,TOT,4,2,0,
1973,WHA,EDO,VAB,4,6,0,
1973,WHA,EDO,WIJ,3,5,0,
1973,WHA,HOU,CHC,4,2,0,
1973,WHA,HOU,CLC,2,2,2,
1973,WHA,HOU,EDO,5,3,0,
1973,WHA,HOU,LAS,8,2,0,
1973,WHA,HOU,MFS,5,3,0,
1973,WHA,HOU,NEW,2,4,0,
