Customer No.,Exposure at Default (in lakh Rs.),Recovery (%),Probability of Default,,
2703,1.26,21.94%,0.0021,,
2704,20.36,36.98%,0.0042,,
2705,11.74,14.83%,0.0017,,
2706,18.44,20.34%,0.0006,,
2707,18.66,0.85%,0.0053,,
2708,13.39,23.14%,0.0004,,
2709,14.18,19.45%,0.0082,,
2710,2.31,21.11%,0.0077,,
2711,15.86,26.22%,0.0032,,
2712,22.76,26.77%,0.0091,,
2713,9.95,13.33%,0.0019,,
2714,6.56,18.04%,0.0017,,
2715,16.48,5.88%,0.0097,,
2716,11.80,9.20%,0.0082,,
2717,15.55,21.82%,0.0054,,
2718,16.06,27.18%,0.0041,,
2719,11.56,22.47%,0.0062,,
2720,20.71,27.09%,0.0071,,
2721,4.27,1.13%,0.0068,,
2722,22.06,15.29%,0.0087,,
2723,8.50,20.70%,0.0084,,
2724,21.05,7.15%,0.0039,,
2725,0.02,6.18%,0.0037,,
2726,9.97,1.29%,0.0059,,
2727,23.18,29.99%,0.0054,,
2728,0.21,34.75%,0.0008,,
2729,11.87,23.22%,0.0087,,
2730,8.80,26.04%,0.0091,,
2731,12.88,0.28%,0.0023,,
2732,17.75,0.37%,0.0044,,
2733,8.64,25.43%,0.0038,,
2734,24.81,4.91%,0.0046,,
2735,10.61,8.13%,0.0007,,
2736,8.83,33.00%,0.0060,,
2737,14.66,13.95%,0.0018,,
2738,8.25,5.95%,0.0003,,
2739,22.22,38.42%,0.0068,,
2740,14.06,21.69%,0.0054,,
2741,15.30,2.73%,0.0071,,
2742,8.01,37.59%,0.0053,,
2743,22.72,10.74%,0.0086,,
2744,22.80,38.51%,0.0070,,
2745,12.19,38.01%,0.0052,,
2746,1.67,16.08%,0.0060,,
2747,15.41,18.67%,0.0013,,
2748,9.76,26.37%,0.0028,,
2749,8.05,2.62%,0.0076,,
2750,17.71,2.33%,0.0006,,
2751,8.24,23.03%,0.0012,,
2752,0.45,1.55%,0.0067,,
2753,4.62,0.25%,0.0088,,
2754,0.50,22.70%,0.0041,,
2755,21.87,15.32%,0.0093,,
2756,5.28,15.79%,0.0064,,
2757,6.85,36.77%,0.0035,,
2758,1.20,23.39%,0.0087,,
2759,7.08,1.95%,0.0014,,
2760,5.63,20.27%,0.0100,,
2761,9.56,31.76%,0.0045,,
2762,11.37,15.61%,0.0008,,
2763,20.80,13.28%,0.0005,,
2764,11.78,37.75%,0.0041,,
2765,17.11,12.73%,0.0047,,
2766,23.25,24.77%,0.0056,,
2767,3.95,39.28%,0.0048,,
2768,20.80,39.30%,0.0012,,
2769,8.48,31.07%,0.0070,,
2770,6.88,33.02%,0.0064,,
2771,18.85,25.08%,0.0084,,
2772,23.17,32.21%,0.0036,,
2773,5.82,27.40%,0.0031,,
2774,20.76,16.30%,0.0031,,
2775,13.53,1.73%,0.0033,,
2776,8.45,30.16%,0.0090,,
2777,11.18,26.37%,0.0042,,
2778,23.94,37.69%,0.0043,,
2779,20.75,1.29%,0.0033,,
2780,8.53,29.93%,0.0063,,
2781,17.17,0.20%,0.0097,,
2782,22.17,28.21%,0.0001,,
2783,22.05,18.70%,0.0018,,
2784,19.19,21.12%,0.0067,,
2785,11.54,33.15%,0.0030,,
2786,23.49,1.19%,0.0062,,
2787,12.52,0.27%,0.0089,,
2788,16.82,12.00%,0.0006,,
2789,22.26,9.01%,0.0006,,
2790,21.35,12.67%,0.0060,,
2791,18.89,28.62%,0.0023,,
2792,5.06,22.31%,0.0100,,
2793,8.64,19.87%,0.0025,,
2794,8.32,24.11%,0.0094,,
2795,14.64,26.24%,0.0076,,
2796,14.69,11.08%,0.0042,,
2797,7.69,29.89%,0.0008,,
2798,5.07,33.71%,0.0015,,
2799,14.61,14.16%,0.0061,,
2800,22.79,8.51%,0.0032,,
2801,21.15,35.36%,0.0014,,
2802,23.66,35.17%,0.0011,,
2803,3.78,23.58%,0.0071,,
2804,12.55,29.19%,0.0052,,
2805,16.47,19.84%,0.0070,,
2806,2.36,18.79%,0.0004,,
2807,9.39,9.39%,0.0066,,
2808,20.84,26.37%,0.0031,,
2809,1.71,34.73%,0.0088,,
2810,17.87,31.28%,0.0041,,
2811,17.15,22.63%,0.0027,,
2812,12.28,13.31%,0.0092,,
2813,14.14,8.40%,0.0009,,
2814,0.82,12.46%,0.0088,,
2815,1.61,6.63%,0.0073,,
2816,11.73,29.85%,0.0098,,
2817,20.67,0.69%,0.0081,,
2818,4.55,17.11%,0.0098,,
2819,14.80,2.25%,0.0028,,
2820,18.70,19.57%,0.0089,,
2821,0.98,9.54%,0.0023,,
2822,21.09,8.24%,0.0026,,
2823,10.39,23.90%,0.0095,,
2824,8.39,35.45%,0.0029,,
2825,14.22,25.13%,0.0040,,
2826,20.21,20.09%,0.0063,,
2827,18.03,38.38%,0.0081,,
2828,7.57,27.98%,0.0095,,
2829,0.20,38.84%,0.0079,,
2830,7.09,35.65%,0.0060,,
2831,4.36,6.04%,0.0043,,
2832,15.26,2.67%,0.0006,,
2833,17.76,36.90%,0.0006,,
2834,0.44,21.00%,0.0094,,
2835,16.72,8.49%,0.0054,,
2836,5.70,23.17%,0.0010,,
2837,6.00,2.67%,0.0028,,
2838,10.86,15.27%,0.0053,,
2839,17.20,2.43%,0.0077,,
2840,4.65,16.76%,0.0040,,
2841,15.23,5.51%,0.0071,,
2842,5.96,7.29%,0.0060,,
2843,22.18,18.17%,0.0039,,
2844,16.48,28.87%,0.0062,,
2845,24.05,39.42%,0.0040,,
2846,8.25,14.86%,0.0013,,
2847,24.28,10.36%,0.0009,,
2848,12.99,18.56%,0.0040,,
2849,8.65,36.77%,0.0060,,
2850,2.03,22.72%,0.0001,,
2851,4.94,26.35%,0.0017,,
2852,4.99,27.16%,0.0002,,
2853,14.43,13.08%,0.0028,,
2854,9.20,1.01%,0.0041,,
2855,19.79,34.49%,0.0031,,
2856,17.68,25.82%,0.0014,,
2857,15.58,14.04%,0.0005,,
2858,18.84,16.47%,0.0092,,
2859,14.17,7.83%,0.0021,,
2860,20.05,19.38%,0.0030,,
2861,4.24,29.32%,0.0042,,
2862,24.50,5.93%,0.0040,,
2863,24.12,36.42%,0.0079,,
2864,17.43,29.90%,0.0064,,
2865,16.95,10.37%,0.0060,,
2866,17.98,10.40%,0.0088,,
2867,21.90,36.32%,0.0004,,
2868,24.27,15.29%,0.0030,,
2869,24.15,12.00%,0.0009,,
2870,4.48,15.35%,0.0096,,
2871,15.46,37.58%,0.0095,,
2872,10.61,16.33%,0.0061,,
2873,14.23,8.55%,0.0089,,
2874,8.93,11.21%,0.0041,,
2875,24.50,11.12%,0.0090,,
2876,24.43,38.80%,0.0087,,
2877,10.35,11.96%,0.0009,,
2878,15.15,26.77%,0.0058,,
2879,11.95,32.60%,0.0091,,
2880,1.06,3.30%,0.0075,,
2881,21.37,35.48%,0.0008,,
2882,19.02,18.24%,0.0002,,
2883,22.75,34.23%,0.0054,,
2884,18.85,8.41%,0.0024,,
2885,22.50,39.07%,0.0046,,
2886,1.95,22.66%,0.0030,,
2887,9.48,13.31%,0.0088,,
2888,13.09,32.70%,0.0058,,
2889,2.41,31.06%,0.0068,,
2890,17.82,34.20%,0.0053,,
2891,23.19,20.54%,0.0054,,
2892,3.43,33.32%,0.0082,,
2893,16.23,24.20%,0.0089,,
2894,19.93,30.22%,0.0098,,
2895,10.88,30.77%,0.0065,,
2896,13.39,30.23%,0.0097,,
2897,8.71,37.65%,0.0084,,
2898,2.82,16.51%,0.0035,,
2899,5.45,25.07%,0.0098,,
2900,11.72,35.62%,0.0017,,
2901,16.09,7.54%,0.0099,,
2902,15.33,17.02%,0.0087,,
2903,11.77,2.31%,0.0059,,
2904,19.92,34.26%,0.0049,,
2905,10.62,30.58%,0.0007,,
2906,14.46,6.23%,0.0050,,
2907,3.39,13.68%,0.0032,,
2908,2.68,9.71%,0.0090,,
2909,4.30,34.39%,0.0093,,
2910,3.40,1.99%,0.0012,,
2911,12.89,19.13%,0.0048,,
2912,20.85,15.04%,0.0039,,
2913,24.93,25.72%,0.0065,,
2914,18.90,5.98%,0.0070,,
2915,20.06,6.37%,0.0030,,
2916,22.63,1.46%,0.0052,,
2917,9.62,22.97%,0.0068,,
2918,16.66,0.06%,0.0087,,
2919,19.35,16.78%,0.0035,,
2920,2.24,26.20%,0.0043,,
2921,24.26,29.49%,0.0044,,
2922,6.61,38.17%,0.0082,,
2923,12.28,28.47%,0.0070,,
2924,3.29,21.29%,0.0063,,
2925,2.71,21.72%,0.0078,,
2926,24.41,15.59%,0.0006,,
2927,13.74,24.05%,0.0037,,
2928,18.43,28.50%,0.0057,,
2929,0.36,21.41%,0.0062,,
2930,22.77,3.77%,0.0034,,
2931,17.24,17.71%,0.0016,,
2932,18.21,16.78%,0.0047,,
2933,4.66,5.32%,0.0064,,
2934,0.22,16.94%,0.0081,,
2935,0.00,32.84%,0.0030,,
2936,11.03,11.17%,0.0000,,
2937,11.83,33.93%,0.0002,,
2938,3.39,15.27%,0.0049,,
2939,3.88,22.07%,0.0018,,
2940,23.69,38.92%,0.0071,,
2941,4.99,7.47%,0.0091,,
2942,14.94,15.56%,0.0052,,
2943,8.85,32.19%,0.0058,,
2944,14.15,1.80%,0.0088,,
2945,11.70,21.88%,0.0066,,
2946,17.55,38.52%,0.0056,,
2947,5.21,10.85%,0.0067,,
2948,20.86,23.86%,0.0001,,
2949,14.89,22.55%,0.0037,,
2950,2.31,25.35%,0.0040,,
2951,14.60,32.55%,0.0023,,
2952,17.04,9.89%,0.0080,,
2953,7.77,35.01%,0.0096,,
2954,11.12,5.02%,0.0053,,
2955,6.09,16.94%,0.0080,,
2956,0.27,24.13%,0.0097,,
2957,17.50,0.30%,0.0094,,
2958,5.44,31.80%,0.0047,,
2959,0.74,34.58%,0.0045,,
2960,0.78,11.13%,0.0051,,
2961,4.28,39.02%,0.0093,,
2962,2.02,34.81%,0.0084,,
2963,23.01,25.74%,0.0025,,
2964,1.66,17.72%,0.0075,,
2965,21.19,31.97%,0.0090,,
2966,15.36,29.87%,0.0074,,
2967,22.77,8.20%,0.0060,,
2968,18.14,4.77%,0.0072,,
2969,23.01,37.61%,0.0082,,
2970,0.83,21.94%,0.0063,,
2971,0.81,4.09%,0.0055,,
2972,15.40,20.44%,0.0053,,
2973,23.19,25.37%,0.0067,,
2974,24.49,11.33%,0.0056,,
2975,5.54,39.29%,0.0097,,
2976,1.91,11.43%,0.0043,,
2977,22.29,18.46%,0.0097,,
2978,3.04,31.43%,0.0066,,
2979,8.04,18.77%,0.0067,,
2980,22.27,19.95%,0.0068,,
2981,13.61,30.61%,0.0062,,
2982,15.06,37.02%,0.0065,,
2983,15.13,11.29%,0.0075,,
2984,22.28,3.93%,0.0058,,
2985,1.30,4.69%,0.0087,,
2986,9.47,5.86%,0.0049,,
2987,14.21,6.23%,0.0040,,
2988,13.66,1.04%,0.0038,,
2989,8.30,8.17%,0.0062,,
2990,1.07,31.77%,0.0092,,
2991,23.03,8.95%,0.0074,,
2992,16.43,37.77%,0.0070,,
2993,19.37,32.48%,0.0051,,
2994,4.92,26.72%,0.0059,,
2995,16.47,10.14%,0.0050,,
2996,10.87,21.57%,0.0043,,
2997,23.35,28.43%,0.0096,,
2998,14.04,16.59%,0.0098,,
2999,6.27,33.38%,0.0026,,
3000,19.31,1.14%,0.0007,,
3001,3.08,12.51%,0.0008,,
3002,8.65,39.78%,0.0038,,
3003,17.17,38.74%,0.0025,,
3004,19.83,4.41%,0.0064,,
3005,18.04,8.96%,0.0050,,
3006,12.03,3.58%,0.0001,,
3007,21.38,8.64%,0.0083,,
3008,24.60,20.57%,0.0008,,
3009,8.02,26.95%,0.0033,,
3010,16.51,25.33%,0.0057,,
3011,3.84,27.26%,0.0012,,
3012,24.49,21.94%,0.0077,,
3013,0.71,26.74%,0.0021,,
3014,19.62,27.31%,0.0053,,
3015,16.59,9.93%,0.0045,,
3016,8.37,29.34%,0.0091,,
3017,19.43,0.67%,0.0046,,
3018,0.71,29.00%,0.0017,,
3019,2.11,32.00%,0.0060,,
3020,2.32,18.85%,0.0041,,
3021,19.48,19.26%,0.0076,,
3022,9.93,33.97%,0.0029,,
3023,14.04,29.44%,0.0048,,
3024,5.34,30.71%,0.0075,,
3025,1.67,17.48%,0.0057,,
3026,11.38,35.09%,0.0028,,
3027,15.54,8.12%,0.0004,,
3028,2.38,3.80%,0.0006,,
3029,11.93,35.30%,0.0061,,
3030,13.05,36.43%,0.0056,,
3031,11.59,14.45%,0.0074,,
3032,5.69,12.55%,0.0015,,
3033,5.32,8.45%,0.0014,,
3034,2.73,19.25%,0.0092,,
3035,14.27,15.29%,0.0014,,
3036,11.40,26.30%,0.0056,,
3037,0.64,10.85%,0.0049,,
3038,20.51,27.63%,0.0041,,
3039,11.98,24.87%,0.0071,,
3040,21.96,18.32%,0.0036,,
3041,13.24,23.30%,0.0001,,
3042,2.24,8.19%,0.0032,,
3043,20.84,36.48%,0.0057,,
3044,19.96,13.45%,0.0019,,
3045,10.00,27.40%,0.0027,,
3046,18.70,16.86%,0.0049,,
3047,4.71,34.49%,0.0048,,
3048,10.03,32.88%,0.0075,,
3049,8.56,37.98%,0.0077,,
3050,6.07,24.65%,0.0003,,
3051,20.95,38.30%,0.0054,,
3052,3.60,39.44%,0.0026,,
3053,1.65,11.07%,0.0018,,
3054,5.64,22.31%,0.0080,,
3055,3.59,8.45%,0.0004,,
3056,0.64,6.37%,0.0095,,
3057,12.88,36.64%,0.0070,,
3058,5.46,24.87%,0.0010,,
3059,5.58,14.35%,0.0040,,
3060,7.70,0.58%,0.0017,,
3061,20.91,28.53%,0.0046,,
3062,7.00,12.34%,0.0072,,
3063,13.48,36.44%,0.0063,,
3064,8.94,24.02%,0.0021,,
3065,7.75,26.80%,0.0046,,
3066,22.35,19.09%,0.0076,,
3067,10.19,23.90%,0.0070,,
3068,16.46,22.24%,0.0001,,
3069,17.68,11.39%,0.0015,,
3070,7.95,14.31%,0.0071,,
3071,13.07,38.14%,0.0029,,
3072,15.46,24.08%,0.0029,,
3073,18.86,12.54%,0.0047,,
3074,2.52,0.72%,0.0043,,
3075,6.69,7.53%,0.0051,,
3076,2.63,35.83%,0.0011,,
3077,15.29,2.90%,0.0090,,
3078,12.48,22.26%,0.0024,,
3079,20.44,20.36%,0.0012,,
3080,13.46,21.31%,0.0069,,
3081,22.38,5.09%,0.0039,,
3082,17.46,28.99%,0.0030,,
3083,11.52,23.24%,0.0018,,
3084,22.93,26.72%,0.0065,,
3085,20.93,3.24%,0.0033,,
3086,8.39,29.67%,0.0066,,
3087,12.26,39.03%,0.0089,,
3088,9.18,24.77%,0.0017,,
3089,21.89,32.76%,0.0090,,
3090,7.70,4.30%,0.0100,,
3091,23.86,24.57%,0.0078,,
3092,10.28,27.33%,0.0056,,
3093,23.82,22.07%,0.0041,,
3094,13.73,16.32%,0.0017,,
3095,8.32,37.27%,0.0092,,
3096,16.19,15.42%,0.0030,,
3097,11.59,2.26%,0.0034,,
3098,21.72,26.63%,0.0078,,
3099,14.99,21.41%,0.0040,,
3100,10.92,14.78%,0.0007,,
3101,10.37,15.05%,0.0060,,
3102,18.64,6.26%,0.0042,,
3103,0.54,3.87%,0.0044,,
3104,12.28,38.34%,0.0009,,
3105,10.39,6.69%,0.0036,,
3106,19.29,19.17%,0.0016,,
3107,14.06,14.12%,0.0047,,
3108,8.54,17.26%,0.0076,,
3109,7.84,14.10%,0.0049,,
3110,4.97,8.92%,0.0061,,
3111,18.48,7.75%,0.0025,,
3112,23.24,7.23%,0.0018,,
3113,14.97,30.26%,0.0078,,
3114,0.69,39.43%,0.0093,,
3115,20.59,5.17%,0.0073,,
3116,20.61,3.39%,0.0014,,
3117,8.01,37.57%,0.0072,,
3118,18.32,35.79%,0.0079,,
3119,10.01,39.73%,0.0083,,
3120,0.10,14.79%,0.0036,,
3121,21.29,24.58%,0.0052,,
3122,10.62,2.21%,0.0030,,
3123,6.49,37.48%,0.0056,,
3124,21.55,2.48%,0.0032,,
3125,15.18,8.46%,0.0091,,
3126,20.65,8.24%,0.0079,,
3127,14.43,34.99%,0.0024,,
3128,8.10,18.24%,0.0043,,
3129,10.62,26.15%,0.0007,,
3130,19.91,32.40%,0.0036,,
3131,10.16,22.81%,0.0093,,
3132,14.36,25.97%,0.0068,,
3133,15.54,0.78%,0.0046,,
3134,20.21,4.58%,0.0000,,
3135,0.44,30.41%,0.0098,,
3136,12.89,7.39%,0.0003,,
3137,6.26,7.76%,0.0051,,
3138,22.65,9.65%,0.0093,,
3139,17.49,31.13%,0.0019,,
3140,1.70,37.35%,0.0070,,
3141,20.71,11.89%,0.0031,,
3142,10.20,0.19%,0.0051,,
3143,9.28,15.33%,0.0096,,
3144,23.99,34.98%,0.0028,,
3145,7.09,8.45%,0.0008,,
3146,8.92,32.07%,0.0011,,
3147,9.25,17.73%,0.0066,,
3148,19.62,5.43%,0.0017,,
3149,2.53,36.05%,0.0040,,
3150,11.12,11.57%,0.0040,,
3151,1.75,15.77%,0.0003,,
3152,6.55,14.63%,0.0041,,
3153,19.91,10.80%,0.0061,,
3154,9.33,31.02%,0.0090,,
3155,21.11,9.53%,0.0000,,
3156,4.71,38.40%,0.0020,,
3157,16.68,22.23%,0.0047,,
3158,15.97,7.13%,0.0095,,
3159,13.73,7.05%,0.0030,,
3160,14.44,27.38%,0.0040,,
3161,9.67,26.04%,0.0009,,
3162,9.25,26.87%,0.0050,,
3163,12.86,31.22%,0.0029,,
3164,11.79,20.44%,0.0091,,
3165,9.16,34.84%,0.0022,,
3166,10.63,29.80%,0.0094,,
3167,3.44,37.45%,0.0026,,
3168,14.16,4.38%,0.0015,,
3169,18.03,11.63%,0.0026,,
3170,16.48,38.92%,0.0008,,
3171,15.14,18.03%,0.0083,,
3172,20.82,25.61%,0.0019,,
3173,17.49,12.44%,0.0044,,
3174,15.90,11.72%,0.0039,,
3175,16.44,37.32%,0.0081,,
3176,10.31,9.05%,0.0089,,
3177,10.07,39.39%,0.0085,,
3178,23.18,4.97%,0.0090,,
3179,10.96,23.09%,0.0012,,
3180,2.57,9.18%,0.0094,,
3181,3.25,9.44%,0.0036,,
3182,17.47,22.12%,0.0011,,
3183,4.13,33.89%,0.0097,,
3184,10.11,9.52%,0.0038,,
3185,19.07,13.50%,0.0088,,
3186,21.46,24.29%,0.0091,,
3187,22.02,8.94%,0.0055,,
3188,6.83,23.19%,0.0091,,
3189,10.33,29.27%,0.0094,,
3190,11.29,37.17%,0.0020,,
3191,0.06,18.05%,0.0063,,
3192,11.68,36.54%,0.0089,,
3193,21.96,25.52%,0.0072,,
3194,6.25,39.04%,0.0028,,
3195,11.99,13.30%,0.0055,,
3196,0.58,22.58%,0.0010,,
3197,23.78,27.58%,0.0043,,
3198,22.30,28.46%,0.0098,,
3199,22.14,38.71%,0.0021,,
3200,5.65,34.42%,0.0029,,
3201,18.91,17.31%,0.0083,,
3202,0.81,23.93%,0.0059,,
3203,11.86,23.42%,0.0014,,
3204,3.56,12.63%,0.0021,,
3205,18.42,8.37%,0.0062,,
3206,5.54,3.36%,0.0001,,
3207,18.86,32.76%,0.0058,,
3208,15.05,7.18%,0.0097,,
3209,11.79,13.84%,0.0080,,
3210,9.07,5.09%,0.0009,,
3211,1.04,11.16%,0.0078,,
3212,3.58,19.26%,0.0005,,
3213,19.75,19.73%,0.0072,,
3214,2.51,37.53%,0.0057,,
3215,17.83,5.17%,0.0034,,
3216,6.20,25.17%,0.0005,,
3217,22.25,16.71%,0.0070,,
3218,16.95,19.55%,0.0003,,
3219,4.81,34.15%,0.0011,,
3220,1.93,1.01%,0.0026,,
3221,19.28,13.48%,0.0011,,
3222,9.60,19.32%,0.0045,,
3223,0.87,5.79%,0.0089,,
3224,2.14,29.38%,0.0037,,
3225,2.43,25.13%,0.0067,,
3226,23.35,13.95%,0.0040,,
3227,24.30,23.04%,0.0081,,
3228,8.66,36.30%,0.0049,,
3229,9.55,38.29%,0.0060,,
3230,18.03,25.71%,0.0004,,
3231,18.23,28.27%,0.0100,,
3232,13.14,4.18%,0.0028,,
3233,6.95,13.48%,0.0031,,
3234,22.80,20.31%,0.0069,,
3235,17.34,2.80%,0.0048,,
3236,10.06,2.96%,0.0024,,
3237,22.52,33.06%,0.0009,,
3238,18.55,3.58%,0.0031,,
3239,8.19,14.21%,0.0016,,
3240,8.95,28.59%,0.0094,,
3241,7.11,32.33%,0.0030,,
3242,16.51,14.46%,0.0033,,
3243,19.11,2.44%,0.0009,,
3244,4.21,29.13%,0.0052,,
3245,4.48,29.60%,0.0009,,
3246,1.36,7.43%,0.0013,,
3247,13.69,30.58%,0.0092,,
3248,16.68,9.07%,0.0082,,
3249,22.10,33.06%,0.0092,,
3250,11.47,15.77%,0.0081,,
3251,16.84,11.47%,0.0013,,
3252,2.28,18.89%,0.0004,,
3253,8.04,23.85%,0.0068,,
3254,23.85,16.28%,0.0007,,
3255,5.72,18.51%,0.0091,,
3256,23.56,25.44%,0.0037,,
3257,7.29,4.63%,0.0040,,
3258,18.94,2.33%,0.0016,,
3259,17.82,36.97%,0.0023,,
3260,14.55,8.64%,0.0038,,
3261,23.03,3.08%,0.0017,,
3262,14.91,8.25%,0.0091,,
3263,24.08,2.14%,0.0083,,
3264,15.53,29.91%,0.0095,,
3265,17.79,16.94%,0.0022,,
3266,7.90,2.50%,0.0009,,
3267,20.63,0.97%,0.0065,,
3268,2.28,25.65%,0.0005,,
3269,19.95,8.78%,0.0044,,
3270,7.93,17.75%,0.0034,,
3271,4.52,18.27%,0.0056,,
3272,23.40,38.21%,0.0027,,
3273,2.42,19.30%,0.0039,,
3274,14.59,28.31%,0.0007,,
3275,5.08,27.20%,0.0095,,
3276,13.69,17.67%,0.0092,,
3277,6.91,32.68%,0.0032,,
3278,5.71,30.12%,0.0027,,
3279,4.17,13.96%,0.0045,,
3280,1.93,8.48%,0.0047,,
3281,6.47,39.02%,0.0072,,
3282,15.13,9.48%,0.0048,,
3283,8.74,7.07%,0.0025,,
3284,7.46,38.32%,0.0011,,
3285,0.76,33.68%,0.0039,,
3286,1.71,12.29%,0.0061,,
3287,9.64,33.43%,0.0009,,
3288,6.81,36.18%,0.0024,,
3289,13.95,26.83%,0.0077,,
3290,13.32,24.12%,0.0081,,
3291,3.22,36.55%,0.0056,,
3292,4.63,7.64%,0.0064,,
3293,15.84,27.53%,0.0058,,
3294,19.32,33.20%,0.0001,,
3295,14.50,36.50%,0.0061,,
3296,18.76,15.18%,0.0030,,
3297,22.23,2.68%,0.0041,,
3298,2.82,14.67%,0.0093,,
3299,5.42,27.59%,0.0006,,
3300,21.62,17.55%,0.0037,,
3301,3.35,18.89%,0.0084,,
3302,2.67,20.52%,0.0067,,
3303,19.65,3.58%,0.0052,,
3304,20.38,36.74%,0.0048,,
3305,20.27,12.67%,0.0032,,
3306,23.37,27.23%,0.0032,,
3307,2.50,6.83%,0.0052,,
3308,8.76,22.67%,0.0018,,
3309,6.95,22.44%,0.0071,,
3310,22.07,13.73%,0.0017,,
3311,15.87,22.82%,0.0043,,
3312,15.34,25.08%,0.0070,,
3313,1.90,19.76%,0.0084,,
3314,24.40,38.25%,0.0093,,
3315,18.86,2.43%,0.0064,,
3316,10.64,37.60%,0.0003,,
3317,16.42,38.75%,0.0000,,
3318,15.38,34.28%,0.0013,,
3319,0.51,11.83%,0.0031,,
3320,22.11,31.46%,0.0014,,
3321,18.44,27.58%,0.0065,,
3322,9.32,32.18%,0.0097,,
3323,9.45,9.78%,0.0081,,
3324,3.73,37.05%,0.0078,,
3325,23.59,29.04%,0.0004,,
3326,8.78,22.41%,0.0055,,
3327,3.74,11.57%,0.0075,,
3328,24.89,8.39%,0.0062,,
3329,10.06,16.57%,0.0056,,
3330,14.63,2.98%,0.0052,,
3331,5.65,21.14%,0.0003,,
3332,0.34,19.45%,0.0072,,
3333,23.06,2.56%,0.0022,,
3334,0.71,36.97%,0.0090,,
3335,20.28,27.44%,0.0079,,
3336,6.41,37.74%,0.0086,,
3337,8.18,22.12%,0.0075,,
3338,8.79,13.90%,0.0032,,
3339,1.08,8.44%,0.0020,,
3340,19.25,34.29%,0.0060,,
3341,5.80,11.91%,0.0011,,
3342,6.32,16.72%,0.0076,,
3343,18.75,2.26%,0.0044,,
3344,18.31,31.80%,0.0074,,
3345,0.17,2.13%,0.0065,,
3346,7.96,4.90%,0.0096,,
3347,23.94,32.15%,0.0046,,
3348,0.31,9.04%,0.0068,,
3349,12.23,5.79%,0.0031,,
3350,14.30,34.37%,0.0084,,
3351,16.00,15.11%,0.0005,,
3352,7.29,15.54%,0.0037,,
3353,23.93,30.97%,0.0034,,
3354,10.18,4.65%,0.0033,,
3355,6.86,32.63%,0.0082,,
3356,20.11,29.37%,0.0066,,
3357,14.03,10.63%,0.0018,,
3358,23.80,8.49%,0.0086,,
3359,7.17,37.48%,0.0079,,
3360,19.27,39.46%,0.0093,,
3361,22.94,4.87%,0.0091,,
3362,0.55,16.20%,0.0007,,
3363,3.14,10.29%,0.0031,,
3364,17.13,30.61%,0.0083,,
3365,5.46,24.26%,0.0020,,
3366,24.55,34.03%,0.0001,,
3367,20.75,19.50%,0.0088,,
3368,15.29,21.67%,0.0072,,
3369,8.64,22.22%,0.0064,,
3370,10.17,10.99%,0.0080,,
3371,0.41,7.09%,0.0051,,
3372,16.06,29.35%,0.0096,,
3373,5.30,20.02%,0.0056,,
3374,19.54,19.09%,0.0099,,
3375,23.58,20.35%,0.0005,,
3376,0.07,26.61%,0.0077,,
3377,21.05,7.07%,0.0091,,
3378,18.94,38.12%,0.0057,,
3379,3.84,38.84%,0.0074,,
3380,9.91,20.28%,0.0039,,
3381,20.89,3.80%,0.0074,,
3382,1.82,32.57%,0.0098,,
3383,18.53,13.20%,0.0082,,
3384,3.97,15.26%,0.0090,,
3385,1.87,31.46%,0.0098,,
3386,13.76,36.11%,0.0039,,
3387,5.74,35.69%,0.0060,,
3388,3.25,16.70%,0.0040,,
3389,15.68,0.42%,0.0076,,
3390,20.92,39.69%,0.0044,,
3391,7.33,19.92%,0.0010,,
3392,3.44,25.56%,0.0091,,
3393,23.68,22.88%,0.0037,,
3394,15.60,14.89%,0.0023,,
3395,4.72,30.51%,0.0063,,
3396,19.93,22.60%,0.0075,,
3397,14.96,29.12%,0.0053,,
3398,2.63,33.66%,0.0012,,
3399,2.60,2.12%,0.0056,,
3400,5.59,38.89%,0.0042,,
3401,21.20,17.51%,0.0044,,
3402,3.82,30.14%,0.0078,,
3403,16.16,34.73%,0.0034,,
3404,24.13,23.83%,0.0022,,
3405,6.19,11.69%,0.0001,,
3406,6.81,22.65%,0.0016,,
3407,5.23,14.83%,0.0050,,
3408,13.60,5.36%,0.0029,,
3409,16.71,27.13%,0.0044,,
3410,14.36,18.02%,0.0038,,
3411,1.74,24.90%,0.0078,,
3412,12.38,13.16%,0.0069,,
3413,0.87,1.72%,0.0053,,
3414,22.83,33.73%,0.0017,,
3415,2.82,13.37%,0.0039,,
3416,21.95,24.59%,0.0089,,
3417,2.94,35.19%,0.0050,,
3418,13.77,39.38%,0.0054,,
3419,3.23,25.89%,0.0043,,
3420,10.29,3.20%,0.0087,,
3421,11.48,26.97%,0.0038,,
3422,10.18,10.38%,0.0065,,
3423,17.18,37.13%,0.0001,,
3424,6.69,32.54%,0.0021,,
3425,22.77,17.52%,0.0079,,
3426,2.90,23.83%,0.0094,,
3427,19.53,5.27%,0.0040,,
3428,10.80,0.35%,0.0032,,
3429,5.36,38.72%,0.0018,,
3430,3.43,7.80%,0.0060,,
3431,11.82,7.20%,0.0046,,
3432,17.78,14.18%,0.0040,,
3433,7.54,19.86%,0.0095,,
3434,11.49,24.14%,0.0071,,
3435,16.20,32.00%,0.0040,,
3436,6.73,10.19%,0.0022,,
